tipo_celular,module_size,AKTIP_MM,AKTIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.089,10.0,49,7,14.29,3.71 (2.97-4.45),42,85.71,2.27 (1.86-2.68),5.27,6.40
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,459.0,0.101,22.0,165,6,3.64,1.73 (1.00-2.46),159,96.36,5.25 (4.92-5.58),3.87,4.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.087,9.0,410,23,5.61,3.40 (2.84-3.95),387,94.39,4.32 (4.12-4.52),7.11,7.54
GABA neurons expressing GABA receptors 13,77.0,0.143,33.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.104,39.0,169,12,7.1,2.81 (2.00-3.63),157,92.9,3.54 (3.32-3.77),3.66,5.49
GABA like neurons 14,2402.0,0.157,27.0,455,32,7.03,2.65 (2.05-3.24),423,92.97,4.53 (4.34-4.71),18.79,8.08
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.149,47.0,261,8,3.07,2.94 (2.00-3.87),253,96.93,4.43 (4.18-4.67),6.53,6.05
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,87.0,0.105,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.06,2.0,124,12,9.68,3.52 (2.68-4.36),112,90.32,4.27 (3.84-4.69),2.83,3.05
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.105,30.0,238,22,9.24,3.13 (2.67-3.60),216,90.76,3.69 (3.45-3.93),5.81,4.94
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.052,8.0,345,30,8.7,3.51 (3.09-3.92),315,91.3,4.38 (4.15-4.61),5.87,5.68
oligodendrocytes 2,1630.0,0.144,55.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
