tipo_celular,module_size,HSCB_MM,HSCB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.271,85.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.156,93.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.096,7.0,353,21,5.95,1.67 (1.19-2.15),332,94.05,4.08 (3.89-4.26),36.57,6.26
GABA neurons expressing GLU receptors 22,599.0,0.111,7.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.254,95.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.111,73.0,66,16,24.24,1.77 (1.17-2.38),50,75.76,3.79 (3.37-4.22),4.53,2.45
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,12,4.35,2.25 (1.73-2.76),264,95.65,3.61 (3.39-3.84),18.11,4.52
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84.0,0.223,34.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,261.0,0.127,35.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.228,12.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62),1.61,3.19
astrocytes 4,1807.0,0.119,11.0,104,10,9.62,1.79 (1.09-2.49),94,90.38,2.99 (2.69-3.28),16.72,4.19
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.078,7.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
