tipo_celular,module_size,SORBS1_MM,SORBS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.383,100.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,499.0,0.21,78.0,32,1,3.12,NA,31,96.88,5.02 (4.53-5.52),1.81,3.86
oligodendrocyte progenitor cells 7,200.0,0.266,82.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,599.0,0.363,95.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,685.0,0.475,99.0,135,36,26.67,2.52 (2.00-3.05),99,73.33,3.47 (3.11-3.83),3.90,3.69
da like neurons 11,172.0,0.377,89.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.438,99.0,141,10,7.09,3.96 (2.39-5.53),131,92.91,2.88 (2.66-3.10),3.61,7.06
oligodendrocytes 20,295.0,0.335,88.0,28,2,7.14,3.78 (3.78-3.78),26,92.86,2.06 (1.60-2.52),1.80,3.17
GABA like neurons 14,1300.0,0.296,87.0,306,50,16.34,3.86 (3.29-4.44),256,83.66,5.47 (5.20-5.74),5.49,6.94
astrocytes 8,1266.0,0.453,100.0,66,22,33.33,2.01 (1.36-2.66),44,66.67,3.88 (3.47-4.29),3.32,2.77
oligodendrocyte progenitor cells 12,153.0,0.342,28.0,27,5,18.52,3.74 (1.78-5.70),22,81.48,5.40 (4.49-6.30),2.45,2.08
oligodendrocytes 10,1277.0,0.186,87.0,27,1,3.7,5.62 (NA-NA),26,96.3,5.39 (4.48-6.31),3.23,6.50
connective tissue cells 21,183.0,0.277,52.0,32,2,6.25,3.54 (-1.69-8.76),30,93.75,5.23 (4.62-5.84),1.48,2.75
astrocytes 15,1401.0,0.128,81.0,96,26,27.08,3.98 (3.12-4.84),70,72.92,3.50 (2.97-4.02),4.13,3.67
oligodendrocytes 16,158.0,0.189,43.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,91.0,0.401,94.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171.0,0.308,94.0,22,4,18.18,5.07 (0.12-10.01),18,81.82,4.47 (3.55-5.39),1.60,2.11
oligodendrocytes 0,1186.0,0.161,77.0,300,12,4.0,4.05 (2.95-5.16),288,96.0,3.78 (3.57-3.99),2.58,4.22
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,94.0,0.342,95.0,7,5,71.43,8.28 (8.28-8.28),2,28.57,2.97 (1.07-4.87),1.67,9.21
oligodendrocytes 2,407.0,0.145,38.0,122,32,26.23,2.02 (1.54-2.49),90,73.77,3.99 (3.54-4.44),3.13,2.55
