tipo_celular,module_size,PWP1_MM,PWP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.102,14.0,59,1,1.69,3.31 (NA-NA),58,98.31,3.10 (2.59-3.61),1.98,5.40
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,44,12.46,1.89 (1.61-2.17),309,87.54,4.28 (4.10-4.45),23.20,5.91
GABA neurons expressing GLU receptors 22,848.0,0.108,8.0,262,3,1.15,1.09 (-0.09-2.27),259,98.85,4.21 (3.96-4.45),5.11,4.09
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,265.0,0.109,17.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,357.0,0.12,28.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,916.0,0.056,2.0,302,3,0.99,2.81 (-0.51-6.12),299,99.01,4.00 (3.77-4.22),7.32,10.69
oligodendrocytes 20,358.0,0.358,94.0,31,2,6.45,3.01 (2.80-3.22),29,93.55,2.31 (1.85-2.77),1.95,3.96
GABA like neurons 14,2402.0,0.263,58.0,455,19,4.18,1.69 (1.03-2.36),436,95.82,4.50 (4.33-4.68),23.70,8.19
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.061,26.0,235,2,0.85,5.19 (3.64-6.74),233,99.15,3.81 (3.57-4.04),3.15,7.65
oligodendrocytes 10,483.0,0.043,7.0,129,1,0.78,5.98 (NA-NA),128,99.22,3.40 (3.01-3.79),10.94,19.25
connective tissue cells 21,118.0,0.324,69.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,107.0,0.362,100.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,409.0,0.109,39.0,235,5,2.13,1.73 (1.05-2.41),230,97.87,4.04 (3.79-4.29),6.49,4.37
astrocytes microglia 23,110.0,0.301,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.075,3.0,238,13,5.46,2.37 (1.94-2.80),225,94.54,3.72 (3.50-3.95),6.19,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.069,32.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.125,20.0,154,3,1.95,4.36 (2.52-6.21),151,98.05,3.22 (2.95-3.49),1.83,3.63
