tipo_celular,module_size,ZNF195_MM,ZNF195_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.311,89.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,282.0,0.092,18.0,241,2,0.83,2.33 (2.22-2.45),239,99.17,4.08 (3.82-4.33),1.88,4.36
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,26,7.37,1.70 (1.45-1.94),327,92.63,4.12 (3.94-4.30),15.58,7.47
GABA neurons expressing GLU receptors 22,823.0,0.121,17.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,229.0,0.221,64.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,853.0,0.089,17.0,133,30,22.56,1.97 (1.69-2.25),103,77.44,3.72 (3.35-4.08),5.36,3.81
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,271.0,0.024,2.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052.0,0.175,79.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,27,9.78,1.70 (1.48-1.92),249,90.22,3.81 (3.59-4.04),6.65,4.94
oligodendrocytes 10,2107.0,0.036,2.0,358,30,8.38,1.64 (1.41-1.87),328,91.62,4.14 (3.96-4.33),21.19,8.40
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,92.0,0.098,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,92.0,0.371,81.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91),NA,1.89
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.1,23.0,238,8,3.36,2.01 (1.45-2.57),230,96.64,3.70 (3.48-3.93),8.74,4.89
microglia 1,813.0,0.107,39.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,357.0,0.06,19.0,127,2,1.57,2.65 (2.03-3.27),125,98.43,3.13 (2.79-3.47),1.73,4.28
oligodendrocytes 2,1630.0,0.147,62.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
