tipo_celular,module_size,NAPEPLD_MM,NAPEPLD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.291,78.0,68,9,13.24,2.66 (1.49-3.83),59,86.76,4.68 (4.10-5.26),3.15,3.34
astrocytes 5,1656.0,0.131,76.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48),2.54,5.01
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,29,8.22,2.15 (1.57-2.74),324,91.78,4.09 (3.91-4.27),29.63,6.13
GABA neurons expressing GLU receptors 22,703.0,0.21,65.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89),1.66,4.14
GLU like neurons 17,795.0,0.052,3.0,80,3,3.75,3.13 (1.95-4.31),77,96.25,5.82 (5.43-6.22),3.14,3.01
da like neurons 11,408.0,0.214,59.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27),2.01,2.36
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.211,50.0,74,5,6.76,4.14 (3.63-4.64),69,93.24,5.58 (4.99-6.17),3.26,3.66
oligodendrocytes 20,295.0,0.239,70.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,3052.0,0.117,31.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.191,65.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.126,58.0,32,7,21.88,0.96 (0.24-1.68),25,78.12,4.01 (3.18-4.83),3.91,2.23
oligodendrocytes 10,1277.0,0.151,73.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,92.0,0.319,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.085,44.0,36,2,5.56,3.95 (2.83-5.06),34,94.44,3.75 (2.56-4.94),2.00,2.61
oligodendrocytes 16,64.0,0.154,18.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,116.0,0.318,47.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,1807.0,0.153,66.0,104,17,16.35,2.11 (1.53-2.69),87,83.65,3.02 (2.72-3.33),13.45,3.82
oligodendrocytes 0,1186.0,0.131,29.0,300,2,0.67,3.49 (1.47-5.51),298,99.33,3.80 (3.59-4.00),3.29,4.16
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.105,60.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.134,15.0,114,10,8.77,3.10 (2.61-3.58),104,91.23,5.37 (4.94-5.79),5.69,4.27
