tipo_celular,module_size,SCN1A_MM,SCN1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.281,86.0,58,1,1.72,2.63 (NA-NA),57,98.28,4.21 (3.78-4.63),1.30,2.34
oligodendrocyte progenitor cells 7,436.0,0.187,78.0,219,36,16.44,4.20 (3.79-4.61),183,83.56,5.48 (5.15-5.81),3.38,4.85
GABA neurons expressing GLU receptors 22,714.0,0.222,70.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12),2.27,4.47
GLU like neurons 17,795.0,0.219,81.0,80,12,15.0,4.65 (3.61-5.70),68,85.0,5.90 (5.48-6.33),2.76,3.06
da like neurons 11,132.0,0.141,26.0,12,10,83.33,4.14 (3.37-4.92),2,16.67,5.90 (NA-NA),2.15,1.95
GABA neurons expressing GABA receptors 13,357.0,0.386,96.0,237,2,0.84,3.67 (3.08-4.27),235,99.16,4.42 (4.18-4.65),2.90,4.19
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.053,3.0,306,48,15.69,3.73 (3.29-4.17),258,84.31,5.46 (5.17-5.75),3.71,7.26
astrocytes 8,603.0,0.086,57.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,411.0,0.44,94.0,103,13,12.62,4.22 (3.69-4.74),90,87.38,5.79 (5.36-6.21),2.54,3.16
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.165,92.0,96,7,7.29,3.48 (2.22-4.74),89,92.71,3.63 (3.15-4.10),3.79,3.80
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,89.0,0.311,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161.0,0.238,74.0,45,2,4.44,NA,43,95.56,5.28 (4.66-5.91),1.69,3.17
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
