tipo_celular,module_size,ATN1_MM,ATN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.055,1.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07),1.98,4.36
oligodendrocyte progenitor cells 7,4285.0,0.101,10.0,353,51,14.45,2.24 (1.89-2.58),302,85.55,4.27 (4.09-4.45),22.02,5.71
GABA neurons expressing GLU receptors 22,823.0,0.165,42.0,23,2,8.7,2.39 (-0.32-5.11),21,91.3,2.40 (1.62-3.18),1.79,3.58
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,265.0,0.12,21.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,200.0,0.131,34.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87),1.69,3.60
endothelial cells 9,385.0,0.112,58.0,275,50,18.18,2.38 (2.01-2.75),225,81.82,4.50 (4.22-4.77),9.91,4.99
oligodendrocytes 20,228.0,0.179,42.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51),1.78,3.49
GABA like neurons 14,2090.0,0.108,18.0,74,15,20.27,2.51 (2.04-2.98),59,79.73,3.07 (2.61-3.54),3.39,12.31
astrocytes 8,260.0,0.194,82.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA,2.24,1.63
oligodendrocyte progenitor cells 12,1049.0,0.044,11.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,806.0,0.085,21.0,261,1,0.38,4.85 (NA-NA),260,99.62,4.36 (4.12-4.61),4.73,6.07
connective tissue cells 21,91.0,0.308,65.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,1401.0,0.069,34.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09),1.43,3.85
oligodendrocytes 16,74.0,0.181,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.136,78.0,43,6,13.95,3.88 (3.69-4.07),37,86.05,3.16 (2.54-3.78),2.73,3.59
astrocytes microglia 23,101.0,0.214,10.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62),1.61,3.19
astrocytes 4,721.0,0.189,96.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.093,12.0,238,12,5.04,2.63 (1.93-3.32),226,94.96,3.70 (3.47-3.93),6.89,4.92
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,94.0,0.045,6.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630.0,0.144,54.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
