tipo_celular,module_size,DCBLD2_MM,DCBLD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.124,63.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,666.0,0.127,21.0,127,9,7.09,2.13 (1.43-2.82),118,92.91,4.03 (3.69-4.37),4.61,5.93
GABA neurons expressing GLU receptors 22,1069.0,0.172,55.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,380.0,0.145,31.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,289.0,0.192,53.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.116,28.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,348.0,0.084,40.0,33,1,3.03,2.74 (NA-NA),32,96.97,2.73 (2.23-3.24),1.87,3.43
GABA like neurons 14,3052.0,0.101,19.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,354.0,0.126,53.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,411.0,0.064,34.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,1277.0,0.053,13.0,27,1,3.7,6.33 (NA-NA),26,96.3,5.35 (4.44-6.26),1.48,6.56
connective tissue cells 21,84.0,0.239,40.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,1401.0,0.049,16.0,96,1,1.04,3.41 (NA-NA),95,98.96,3.62 (3.16-4.07),7.76,3.76
oligodendrocytes 16,313.0,0.085,2.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57),1.33,3.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.239,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.155,69.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20),6.57,5.36
oligodendrocytes 0,1186.0,0.13,28.0,300,3,1.0,3.22 (2.53-3.90),297,99.0,3.80 (3.59-4.01),9.58,4.10
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.096,52.0,87,4,4.6,1.94 (0.97-2.91),83,95.4,2.62 (2.34-2.90),2.95,4.30
oligodendrocytes 2,921.0,0.124,28.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
