tipo_celular,module_size,NUMBL_MM,NUMBL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.11,15.0,58,12,20.69,2.79 (2.27-3.31),46,79.31,4.62 (4.17-5.07),2.15,2.36
oligodendrocyte progenitor cells 7,4285.0,0.109,17.0,353,9,2.55,0.96 (0.55-1.38),344,97.45,3.99 (3.81-4.17),32.73,7.42
GABA neurons expressing GLU receptors 22,400.0,0.323,92.0,24,3,12.5,1.06 (0.09-2.03),21,87.5,2.31 (1.77-2.85),7.66,3.00
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.112,35.0,133,4,3.01,0.74 (0.38-1.10),129,96.99,3.35 (3.04-3.66),4.93,4.14
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.097,12.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,603.0,0.072,47.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20),5.80,6.05
oligodendrocyte progenitor cells 12,1049.0,0.099,54.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,125.0,0.286,46.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1401.0,0.112,72.0,96,3,3.12,2.69 (1.18-4.20),93,96.88,3.65 (3.19-4.11),1.71,3.86
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.091,23.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,121.0,0.339,70.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,1807.0,0.133,28.0,104,7,6.73,1.06 (0.57-1.56),97,93.27,3.00 (2.72-3.28),11.54,4.95
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
