tipo_celular,module_size,MAP4K4_MM,MAP4K4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.205,45.0,140,42,30.0,4.49 (3.98-5.00),98,70.0,4.59 (4.25-4.93),4.16,3.28
T cells 18,349.0,0.158,42.0,68,24,35.29,5.05 (3.99-6.11),44,64.71,3.91 (3.35-4.46),2.45,3.78
astrocytes 5,222.0,0.116,12.0,98,19,19.39,5.89 (4.81-6.98),79,80.61,4.21 (3.84-4.59),3.00,2.57
oligodendrocyte progenitor cells 7,229.0,0.18,44.0,45,6,13.33,4.99 (4.83-5.15),39,86.67,5.01 (4.26-5.75),2.98,5.72
GABA neurons expressing GLU receptors 22,567.0,0.305,81.0,16,2,12.5,1.95 (NA-NA),14,87.5,1.97 (1.25-2.70),1.55,3.93
GLU like neurons 17,637.0,0.335,86.0,91,24,26.37,3.54 (2.50-4.58),67,73.63,4.93 (4.36-5.50),3.07,3.06
da like neurons 11,408.0,0.38,84.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48),2.24,2.29
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.271,64.0,74,14,18.92,5.84 (4.76-6.92),60,81.08,5.33 (4.68-5.98),5.92,3.10
oligodendrocytes 20,676.0,0.148,38.0,110,45,40.91,5.05 (4.39-5.72),65,59.09,4.93 (4.32-5.53),4.01,3.19
GABA like neurons 14,1300.0,0.165,30.0,306,68,22.22,4.43 (3.93-4.93),238,77.78,5.40 (5.10-5.70),10.41,5.65
astrocytes 8,771.0,0.243,73.0,48,8,16.67,6.70 (4.94-8.47),40,83.33,3.84 (3.14-4.55),3.34,3.10
oligodendrocyte progenitor cells 12,708.0,0.306,88.0,25,2,8.0,0.21 (NA-NA),23,92.0,3.00 (2.02-3.99),1.61,2.62
oligodendrocytes 10,204.0,0.371,32.0,92,13,14.13,7.03 (6.32-7.75),79,85.87,5.45 (4.93-5.96),3.07,3.83
connective tissue cells 21,250.0,0.245,29.0,117,33,28.21,5.18 (4.49-5.87),84,71.79,5.50 (5.01-5.98),5.30,3.12
astrocytes 15,418.0,0.254,64.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16),1.87,3.08
oligodendrocytes 16,199.0,0.088,2.0,3,1,33.33,3.56 (NA-NA),2,66.67,7.00 (NA-NA),1.49,6.40
da neurons 6,398.0,0.44,95.0,138,57,41.3,4.44 (3.90-4.99),81,58.7,5.17 (4.69-5.66),2.62,2.82
astrocytes microglia 23,37.0,0.209,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.096,3.0,95,16,16.84,2.95 (2.17-3.73),79,83.16,3.49 (3.00-3.98),2.45,5.08
oligodendrocytes 0,479.0,0.048,0.0,40,13,32.5,6.10 (5.07-7.13),27,67.5,5.70 (5.17-6.23),3.44,3.49
microglia 1,315.0,0.135,31.0,144,25,17.36,4.93 (4.16-5.69),119,82.64,4.35 (4.01-4.68),3.48,4.36
oligodendrocytes 3,743.0,0.049,8.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,237.0,0.203,44.0,26,3,11.54,NA,23,88.46,5.22 (4.28-6.15),1.44,2.69
