tipo_celular,module_size,RPL8_MM,RPL8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.521,93.0,98,27,27.55,2.83 (2.05-3.61),71,72.45,3.38 (2.80-3.96),33.35,5.89
T cells 18,506.0,0.437,90.0,225,28,12.44,2.99 (2.22-3.75),197,87.56,3.71 (3.45-3.97),27.60,5.10
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.384,96.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70),39.78,15.06
GABA neurons expressing GLU receptors 22,487.0,0.13,15.0,73,16,21.92,2.79 (2.13-3.45),57,78.08,2.74 (2.28-3.21),13.80,5.51
GLU like neurons 17,685.0,0.255,86.0,135,27,20.0,2.17 (1.68-2.66),108,80.0,3.46 (3.12-3.81),6.81,2.99
da like neurons 11,1220.0,0.324,85.0,410,16,3.9,2.89 (2.19-3.58),394,96.1,4.31 (4.12-4.50),16.44,7.15
GABA neurons expressing GABA receptors 13,417.0,0.155,46.0,213,34,15.96,2.13 (1.62-2.64),179,84.04,4.14 (3.91-4.38),14.47,8.78
endothelial cells 9,916.0,0.644,100.0,302,12,3.97,3.14 (2.10-4.18),290,96.03,4.02 (3.79-4.25),38.89,9.48
oligodendrocytes 20,938.0,0.199,80.0,169,17,10.06,2.84 (2.07-3.61),152,89.94,3.55 (3.33-3.78),16.66,4.10
GABA like neurons 14,2402.0,0.668,98.0,455,35,7.69,1.99 (1.53-2.44),420,92.31,4.60 (4.42-4.77),26.52,7.36
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.446,98.0,235,11,4.68,3.23 (2.57-3.89),224,95.32,3.86 (3.62-4.10),35.25,6.26
oligodendrocytes 10,483.0,0.467,95.0,129,16,12.4,4.10 (3.16-5.03),113,87.6,3.35 (2.93-3.77),38.73,16.42
connective tissue cells 21,301.0,0.544,86.0,158,15,9.49,2.65 (1.95-3.35),143,90.51,4.50 (4.11-4.88),35.08,4.13
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,105.0,0.287,81.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,729.0,0.29,94.0,182,21,11.54,2.99 (2.09-3.88),161,88.46,3.71 (3.45-3.97),25.55,6.30
astrocytes microglia 23,137.0,0.522,91.0,188,37,19.68,2.56 (1.97-3.15),151,80.32,4.93 (4.59-5.26),21.27,3.68
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.323,93.0,252,40,15.87,2.35 (1.76-2.95),212,84.13,4.47 (4.23-4.71),21.02,5.79
microglia 1,406.0,0.572,96.0,278,11,3.96,3.69 (3.08-4.30),267,96.04,4.39 (4.11-4.67),47.19,5.07
oligodendrocytes 3,303.0,0.268,92.0,154,14,9.09,3.93 (3.25-4.62),140,90.91,3.59 (3.25-3.93),47.22,8.30
oligodendrocytes 2,526.0,0.44,87.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28),54.82,6.11
