tipo_celular,module_size,RCAN1_MM,RCAN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.253,73.0,102,10,9.8,2.29 (1.30-3.28),92,90.2,3.64 (3.26-4.02),3.47,2.99
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.151,73.0,353,12,3.4,1.02 (0.51-1.53),341,96.6,4.02 (3.84-4.20),38.98,6.98
GABA neurons expressing GLU receptors 22,599.0,0.219,55.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1316.0,0.15,72.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,204.0,0.068,7.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.146,35.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25),7.11,6.81
oligodendrocytes 20,298.0,0.144,50.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052.0,0.117,31.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.079,51.0,276,6,2.17,1.12 (0.66-1.57),270,97.83,3.60 (3.38-3.82),9.47,5.01
oligodendrocytes 10,806.0,0.078,16.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,106.0,0.342,81.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.172,42.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,553.0,0.082,14.0,124,2,1.61,2.23 (-1.35-5.82),122,98.39,4.23 (3.83-4.62),2.78,3.04
astrocytes microglia 23,125.0,0.288,30.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.128,35.0,127,1,0.79,2.74 (NA-NA),126,99.21,3.05 (2.64-3.47),1.56,6.32
microglia 1,813.0,0.098,26.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,681.0,0.084,39.0,87,7,8.05,1.43 (0.71-2.15),80,91.95,2.69 (2.42-2.97),6.08,4.08
oligodendrocytes 2,921.0,0.13,37.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
