tipo_celular,module_size,ZNF565_MM,ZNF565_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.1,26.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,628.0,0.145,35.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,1069.0,0.184,63.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69),2.44,3.18
GLU like neurons 17,637.0,0.08,12.0,91,6,6.59,0.39 (0.28-0.50),85,93.41,4.94 (4.48-5.40),3.09,3.06
da like neurons 11,853.0,0.098,25.0,133,37,27.82,1.84 (1.55-2.13),96,72.18,3.94 (3.59-4.29),5.65,3.59
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.066,29.0,18,7,38.89,0.68 (0.46-0.91),11,61.11,2.64 (1.80-3.47),5.44,2.74
GABA like neurons 14,2402.0,0.092,6.0,455,14,3.08,0.87 (0.64-1.09),441,96.92,4.50 (4.32-4.67),23.14,8.38
astrocytes 8,771.0,0.171,60.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.086,35.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.173,82.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,250.0,0.345,61.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77),NA,3.74
astrocytes 15,268.0,0.096,56.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81),1.41,1.61
oligodendrocytes 16,75.0,0.131,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.294,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.152,64.0,104,17,16.35,1.26 (1.00-1.53),87,83.65,3.21 (2.92-3.49),9.25,4.64
oligodendrocytes 0,187.0,0.203,64.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.11,79.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.133,13.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
