tipo_celular,module_size,CEP350_MM,CEP350_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.149,14.0,21,3,14.29,0.35 (0.26-0.44),18,85.71,2.64 (2.04-3.25),2.86,1.86
T cells 18,624,0.181,72.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48),7.22,4.26
astrocytes 5,118,0.302,99.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,4285,0.083,3.0,353,10,2.83,1.41 (0.41-2.40),343,97.17,3.96 (3.78-4.15),26.47,7.53
GABA neurons expressing GLU receptors 22,599,0.205,47.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685,0.101,29.0,135,4,2.96,1.24 (0.77-1.72),131,97.04,3.26 (2.95-3.57),2.55,3.79
da like neurons 11,142,0.438,91.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,266,0.103,15.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,1653,0.146,64.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88),6.04,5.51
oligodendrocytes 20,348,0.041,14.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,1300,0.222,57.0,306,3,0.98,2.51 (0.72-4.30),303,99.02,5.13 (4.87-5.39),4.12,6.73
astrocytes 8,279,0.224,29.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73),NA,2.71
oligodendrocyte progenitor cells 12,218,0.369,81.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107,0.235,79.0,358,10,2.79,0.95 (0.43-1.48),348,97.21,3.94 (3.75-4.13),24.43,9.04
connective tissue cells 21,110,0.217,22.0,13,0,0.0,NA,13,100.0,3.11 (2.29-3.94),NA,1.70
astrocytes 15,268,0.429,100.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,74,0.179,50.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,398,0.151,51.0,138,3,2.17,1.70 (-0.85-4.25),135,97.83,4.91 (4.54-5.27),2.29,2.74
astrocytes microglia 23,166,0.325,67.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,255,0.243,86.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,1186,0.175,90.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00),4.41,4.15
microglia 1,958,0.154,91.0,290,2,0.69,1.57 (1.57-1.57),288,99.31,3.83 (3.60-4.06),5.73,5.00
oligodendrocytes 3,357,0.18,88.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,804,0.186,82.0,84,4,4.76,4.43 (4.17-4.69),80,95.24,2.63 (2.30-2.97),2.24,3.45
