tipo_celular,module_size,MAP3K8_MM,MAP3K8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.233,68.0,102,19,18.63,2.22 (1.65-2.80),83,81.37,3.81 (3.41-4.21),4.22,2.76
T cells 18,349.0,0.274,74.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12),2.46,3.35
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.208,53.0,120,14,11.67,3.80 (3.36-4.23),106,88.33,4.73 (4.38-5.08),3.79,3.63
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,103.0,0.258,36.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,83.0,0.276,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.277,81.0,163,8,4.91,4.24 (3.66-4.83),155,95.09,3.68 (3.40-3.95),3.31,5.26
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
