tipo_celular,module_size,SEC61B_MM,SEC61B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.17,45.0,225,13,5.78,3.00 (1.78-4.22),212,94.22,3.66 (3.41-3.91),5.47,8.05
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.132,26.0,164,18,10.98,5.10 (4.25-5.94),146,89.02,3.92 (3.57-4.26),5.46,7.78
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.369,81.0,302,16,5.3,4.37 (3.22-5.53),286,94.7,3.95 (3.72-4.18),4.99,10.97
oligodendrocytes 20,271.0,0.158,43.0,8,1,12.5,NA,7,87.5,3.49 (2.00-4.99),1.30,3.72
GABA like neurons 14,2402.0,0.231,51.0,455,52,11.43,3.22 (2.70-3.73),403,88.57,4.54 (4.35-4.73),17.55,7.71
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.13,68.0,235,13,5.53,5.21 (4.20-6.22),222,94.47,3.72 (3.49-3.95),3.73,7.84
oligodendrocytes 10,483.0,0.142,58.0,129,2,1.55,5.88 (4.48-7.28),127,98.45,3.38 (2.99-3.77),2.88,19.45
connective tissue cells 21,118.0,0.411,94.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,66.0,0.3,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,109.0,0.346,75.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.128,25.0,252,36,14.29,2.69 (2.10-3.27),216,85.71,4.42 (4.17-4.67),9.15,8.05
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.094,27.0,154,2,1.3,6.80 (6.40-7.20),152,98.7,3.57 (3.25-3.88),3.39,11.95
oligodendrocytes 2,526.0,0.179,24.0,213,1,0.47,7.18 (NA-NA),212,99.53,3.96 (3.69-4.23),2.68,7.96
