tipo_celular,module_size,DPY19L4_MM,DPY19L4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.253,75.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.101,26.0,136,1,0.74,NA,135,99.26,3.21 (2.94-3.48),1.43,5.01
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,13,3.68,1.56 (0.87-2.26),340,96.32,4.00 (3.81-4.18),35.50,7.01
GABA neurons expressing GLU receptors 22,1069.0,0.201,75.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,197.0,0.122,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.064,5.0,297,3,1.01,3.35 (1.74-4.96),294,98.99,3.68 (3.47-3.88),3.62,5.54
oligodendrocytes 20,221.0,0.18,42.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052.0,0.129,41.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.07,25.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,411.0,0.056,29.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,2107.0,0.067,12.0,358,10,2.79,1.41 (0.50-2.32),348,97.21,3.95 (3.76-4.13),41.67,8.55
connective tissue cells 21,136.0,0.336,68.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,261.0,0.04,6.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,74.0,0.164,37.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.282,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.147,56.0,104,5,4.81,2.22 (0.98-3.46),99,95.19,2.90 (2.61-3.19),13.46,4.99
oligodendrocytes 0,2078.0,0.129,81.0,238,3,1.26,2.60 (2.45-2.75),235,98.74,3.65 (3.42-3.87),6.02,5.01
microglia 1,1615.0,0.087,18.0,161,9,5.59,1.41 (0.50-2.32),152,94.41,3.41 (3.14-3.68),18.27,4.67
oligodendrocytes 3,854.0,0.052,7.0,76,1,1.32,4.17 (NA-NA),75,98.68,2.76 (2.43-3.09),1.43,4.76
oligodendrocytes 2,1630.0,0.148,63.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52),2.69,3.60
