tipo_celular,module_size,MAST3_MM,MAST3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.103,13.0,71,4,5.63,1.85 (0.62-3.08),67,94.37,2.68 (2.25-3.11),1.78,3.68
T cells 18,393.0,0.219,78.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.083,15.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,853.0,0.076,9.0,133,9,6.77,3.45 (2.52-4.38),124,93.23,3.24 (2.91-3.57),2.68,4.27
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.145,26.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2090.0,0.151,48.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.069,23.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,94.0,0.174,30.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,307.0,0.071,6.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,114.0,0.258,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.108,8.0,300,6,2.0,4.09 (3.83-4.36),294,98.0,3.79 (3.57-4.00),7.91,4.08
microglia 1,958.0,0.129,74.0,290,5,1.72,1.23 (0.82-1.64),285,98.28,3.87 (3.64-4.10),5.90,4.98
oligodendrocytes 3,639.0,0.091,46.0,15,6,40.0,1.98 (1.07-2.88),9,60.0,4.46 (2.33-6.59),2.31,2.15
oligodendrocytes 2,131.0,0.124,11.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
