tipo_celular,module_size,TPPP_MM,TPPP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,229.0,0.245,72.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63),2.73,5.42
GABA neurons expressing GLU receptors 22,487.0,0.119,13.0,73,3,4.11,2.12 (1.04-3.20),70,95.89,2.79 (2.39-3.19),2.37,7.54
GLU like neurons 17,637.0,0.163,53.0,91,31,34.07,2.92 (2.20-3.65),60,65.93,5.63 (5.13-6.12),3.33,2.92
da like neurons 11,1220.0,0.139,33.0,410,21,5.12,3.36 (2.51-4.21),389,94.88,4.29 (4.10-4.48),7.59,7.51
GABA neurons expressing GABA receptors 13,200.0,0.279,96.0,34,2,5.88,3.68 (NA-NA),32,94.12,3.90 (2.98-4.81),1.57,3.61
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.11,31.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.149,24.0,455,30,6.59,2.09 (1.47-2.70),425,93.41,4.52 (4.34-4.70),19.12,8.11
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.293,87.0,25,4,16.0,1.22 (-0.77-3.20),21,84.0,3.04 (2.01-4.08),1.70,2.70
oligodendrocytes 10,806.0,0.214,65.0,261,32,12.26,4.61 (4.09-5.13),229,87.74,4.33 (4.07-4.60),4.47,6.29
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,105.0,0.186,31.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,553.0,0.146,63.0,124,10,8.06,4.27 (2.43-6.10),114,91.94,4.18 (3.77-4.58),2.77,3.06
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.204,91.0,127,6,4.72,2.25 (1.41-3.09),121,95.28,3.12 (2.68-3.56),3.19,6.43
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.183,96.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55),1.34,7.37
oligodendrocytes 2,348.0,0.261,71.0,114,18,15.79,4.42 (3.79-5.04),96,84.21,5.31 (4.83-5.80),6.08,4.08
