tipo_celular,module_size,LAPTM4B_MM,LAPTM4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.118,28.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666.0,0.147,33.0,127,12,9.45,2.55 (1.65-3.44),115,90.55,4.00 (3.65-4.35),4.37,5.99
GABA neurons expressing GLU receptors 22,823.0,0.122,17.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.136,32.0,410,39,9.51,3.53 (3.16-3.90),371,90.49,4.34 (4.14-4.55),9.12,7.35
GABA neurons expressing GABA receptors 13,75.0,0.182,65.0,3,1,33.33,NA,2,66.67,1.99 (1.51-2.46),1.54,4.32
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.108,24.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.111,65.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79),1.94,4.57
oligodendrocyte progenitor cells 12,708.0,0.054,18.0,32,14,43.75,1.71 (1.04-2.38),18,56.25,4.58 (3.59-5.56),3.16,2.16
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.247,93.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.088,11.0,159,8,5.03,4.09 (3.67-4.51),151,94.97,4.38 (4.05-4.71),4.30,3.70
astrocytes microglia 23,70.0,0.325,43.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.53
astrocytes 4,514.0,0.124,13.0,95,6,6.32,1.76 (0.49-3.02),89,93.68,3.49 (3.06-3.92),2.68,4.77
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
