tipo_celular,module_size,MEGF10_MM,MEGF10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.148,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,229.0,0.182,45.0,45,2,4.44,4.80 (4.77-4.83),43,95.56,5.02 (4.36-5.67),3.91,5.42
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.422,70.0,110,13,11.82,2.73 (1.93-3.53),97,88.18,5.44 (5.01-5.88),3.00,3.59
GABA like neurons 14,3052.0,0.099,17.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.159,77.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.325,89.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,236.0,0.66,91.0,82,6,7.32,3.74 (2.95-4.53),76,92.68,5.12 (4.57-5.68),3.24,3.88
connective tissue cells 21,250.0,0.203,19.0,117,18,15.38,3.45 (2.86-4.05),99,84.62,5.89 (5.49-6.28),3.55,3.77
astrocytes 15,443.0,0.097,11.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,287.0,0.494,97.0,105,15,14.29,2.47 (1.82-3.13),90,85.71,5.78 (5.43-6.14),3.15,3.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.397,99.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,201.0,0.159,39.0,18,2,11.11,2.53 (2.34-2.73),16,88.89,4.82 (3.91-5.74),1.69,3.27
oligodendrocytes 0,261.0,0.175,41.0,42,8,19.05,1.61 (1.13-2.10),34,80.95,4.88 (4.25-5.50),2.14,2.31
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,127.0,0.25,50.0,45,7,15.56,2.21 (1.64-2.78),38,84.44,5.09 (4.17-6.02),2.05,6.63
oligodendrocytes 2,237.0,0.16,23.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
