tipo_celular,module_size,EPC2_MM,EPC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.148,18.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,610.0,0.135,37.0,98,28,28.57,1.94 (1.56-2.32),70,71.43,3.67 (3.32-4.02),4.30,3.93
astrocytes 5,1141.0,0.139,63.0,166,32,19.28,2.25 (1.97-2.53),134,80.72,3.74 (3.45-4.02),3.85,4.72
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,55,15.58,2.45 (2.14-2.76),298,84.42,4.25 (4.06-4.45),15.18,6.75
GABA neurons expressing GLU receptors 22,848.0,0.18,37.0,262,6,2.29,1.63 (0.65-2.62),256,97.71,4.23 (3.98-4.47),3.87,4.11
GLU like neurons 17,1316.0,0.114,42.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,120.0,0.458,95.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.159,73.0,297,12,4.04,3.51 (3.10-3.93),285,95.96,3.68 (3.47-3.89),4.83,5.55
oligodendrocytes 20,233.0,0.034,4.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.138,49.0,125,5,4.0,3.51 (3.07-3.95),120,96.0,3.34 (3.00-3.68),4.40,8.79
astrocytes 8,771.0,0.045,9.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,218.0,0.326,64.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107.0,0.163,56.0,358,67,18.72,2.43 (2.14-2.71),291,81.28,4.35 (4.15-4.55),16.80,7.79
connective tissue cells 21,100.0,0.236,37.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,458.0,0.108,58.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,81.0,0.208,70.0,3,1,33.33,NA,2,66.67,NA,1.59,2.62
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.25,44.0,57,5,8.77,2.52 (2.16-2.88),52,91.23,2.67 (2.27-3.06),1.68,3.49
astrocytes 4,752.0,0.167,70.0,96,11,11.46,2.45 (2.06-2.84),85,88.54,3.43 (3.06-3.80),2.34,4.58
oligodendrocytes 0,1186.0,0.153,65.0,300,20,6.67,3.55 (3.17-3.94),280,93.33,3.81 (3.59-4.03),3.61,4.19
microglia 1,1615.0,0.113,55.0,161,50,31.06,2.32 (2.00-2.64),111,68.94,3.85 (3.52-4.18),6.71,4.86
oligodendrocytes 3,854.0,0.118,77.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.152,75.0,200,7,3.5,3.04 (2.36-3.73),193,96.5,3.65 (3.37-3.92),4.33,3.43
