tipo_celular,module_size,MCMBP_MM,MCMBP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.214,61.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,506.0,0.083,6.0,225,3,1.33,2.18 (0.03-4.33),222,98.67,3.64 (3.39-3.89),8.21,7.90
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,29,8.22,1.61 (1.22-2.00),324,91.78,4.15 (3.98-4.33),33.85,5.76
GABA neurons expressing GLU receptors 22,567.0,0.213,59.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74),1.65,3.92
GLU like neurons 17,1316.0,0.151,73.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.116,23.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20),NA,6.82
oligodendrocytes 20,330.0,0.18,53.0,36,5,13.89,1.88 (1.36-2.40),31,86.11,1.93 (1.53-2.33),4.45,2.91
GABA like neurons 14,3052.0,0.156,65.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.042,9.0,276,16,5.8,1.77 (1.30-2.24),260,94.2,3.68 (3.46-3.90),19.30,4.24
oligodendrocytes 10,2107.0,0.12,39.0,358,30,8.38,1.68 (1.28-2.09),328,91.62,4.13 (3.94-4.31),36.01,7.05
connective tissue cells 21,100.0,0.31,71.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,123.0,0.278,87.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,63.0,0.332,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.123,68.0,238,5,2.1,1.68 (0.56-2.80),233,97.9,3.68 (3.46-3.90),9.58,4.92
microglia 1,958.0,0.144,86.0,290,4,1.38,3.41 (1.21-5.61),286,98.62,3.82 (3.59-4.05),4.02,5.01
oligodendrocytes 3,743.0,0.083,53.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.154,75.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
