tipo_celular,module_size,ZC3HAV1_MM,ZC3HAV1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.167,61.0,35,16,45.71,5.63 (4.52-6.73),19,54.29,1.99 (1.18-2.80),2.47,3.22
T cells 18,388.0,0.231,82.0,84,6,7.14,2.73 (2.15-3.31),78,92.86,2.99 (2.64-3.34),2.19,4.49
astrocytes 5,1656.0,0.13,73.0,136,5,3.68,1.40 (1.29-1.50),131,96.32,3.29 (3.01-3.56),7.69,4.89
oligodendrocyte progenitor cells 7,666.0,0.194,68.0,127,16,12.6,2.38 (1.89-2.88),111,87.4,4.14 (3.78-4.50),4.11,6.09
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.289,88.0,141,8,5.67,3.01 (1.66-4.37),133,94.33,2.96 (2.72-3.20),3.69,7.01
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.075,42.0,83,4,4.82,2.52 (0.55-4.49),79,95.18,3.30 (2.84-3.76),2.10,4.59
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,39,14.13,2.33 (1.91-2.75),237,85.87,3.81 (3.58-4.04),7.20,4.77
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,110.0,0.299,67.0,13,4,30.77,3.12 (1.59-4.64),9,69.23,3.11 (2.07-4.16),1.86,1.63
astrocytes 15,261.0,0.243,85.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.334,52.0,120,45,37.5,2.90 (2.45-3.36),75,62.5,4.18 (3.83-4.52),3.14,2.59
astrocytes 4,514.0,0.149,27.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95),3.16,4.72
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.203,99.0,290,22,7.59,3.64 (2.85-4.43),268,92.41,3.83 (3.59-4.07),5.82,4.93
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
