tipo_celular,module_size,COX10_MM,COX10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.123,23.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,624.0,0.085,7.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.105,32.0,136,1,0.74,1.32 (NA-NA),135,99.26,3.22 (2.95-3.50),11.17,4.94
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,29,8.22,1.73 (1.34-2.11),324,91.78,4.15 (3.97-4.33),30.78,6.03
GABA neurons expressing GLU receptors 22,400.0,0.221,63.0,24,14,58.33,1.43 (0.90-1.95),10,41.67,3.18 (2.66-3.70),4.71,2.00
GLU like neurons 17,1316.0,0.103,31.0,101,3,2.97,2.50 (2.08-2.91),98,97.03,3.07 (2.71-3.44),2.33,3.08
da like neurons 11,853.0,0.144,60.0,133,14,10.53,1.35 (0.84-1.86),119,89.47,3.52 (3.21-3.84),5.14,4.05
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.126,39.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.06,26.0,66,17,25.76,1.58 (1.10-2.05),49,74.24,3.93 (3.53-4.32),4.22,2.51
oligodendrocyte progenitor cells 12,3303.0,0.144,98.0,276,16,5.8,1.94 (1.59-2.28),260,94.2,3.67 (3.45-3.90),15.64,4.46
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,145.0,0.459,98.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,418.0,0.018,1.0,54,3,5.56,3.52 (0.07-6.98),51,94.44,3.69 (3.27-4.12),2.71,3.03
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.257,10.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,1807.0,0.153,65.0,104,13,12.5,1.66 (1.17-2.15),91,87.5,3.05 (2.75-3.35),16.61,3.80
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.112,45.0,79,2,2.53,3.07 (0.47-5.68),77,97.47,3.10 (2.69-3.51),5.04,7.98
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
