tipo_celular,module_size,BEND6_MM,BEND6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.107,36.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.113,21.0,353,12,3.4,1.79 (0.81-2.77),341,96.6,3.99 (3.80-4.17),38.74,6.98
GABA neurons expressing GLU receptors 22,823.0,0.249,86.0,23,1,4.35,3.78 (NA-NA),22,95.65,2.31 (1.57-3.06),1.46,3.51
GLU like neurons 17,795.0,0.149,59.0,80,1,1.25,4.37 (NA-NA),79,98.75,5.70 (5.29-6.12),3.70,3.01
da like neurons 11,77.0,0.334,64.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,266.0,0.2,71.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.173,34.0,306,26,8.5,3.06 (2.52-3.59),280,91.5,5.39 (5.12-5.65),10.51,6.35
astrocytes 8,262.0,0.073,14.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.042,8.0,276,7,2.54,2.55 (1.30-3.80),269,97.46,3.58 (3.36-3.80),11.73,4.94
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.065,28.0,105,7,6.67,2.77 (1.52-4.01),98,93.33,3.25 (2.90-3.60),3.93,3.98
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.153,84.0,43,1,2.33,3.78 (NA-NA),42,97.67,3.27 (2.73-3.80),1.34,3.52
astrocytes microglia 23,95.0,0.353,72.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56),NA,3.03
astrocytes 4,1807.0,0.089,1.0,104,6,5.77,2.44 (0.79-4.09),98,94.23,2.89 (2.61-3.17),12.72,4.95
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
