tipo_celular,module_size,COPS9_MM,COPS9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.207,59.0,410,18,4.39,3.82 (2.91-4.73),392,95.61,4.27 (4.08-4.46),7.84,7.50
GABA neurons expressing GABA receptors 13,67.0,0.216,78.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,916.0,0.278,67.0,302,2,0.66,0.21 (NA-NA),300,99.34,4.00 (3.77-4.22),3.42,10.70
oligodendrocytes 20,938.0,0.222,85.0,169,13,7.69,3.53 (2.55-4.50),156,92.31,3.48 (3.25-3.70),3.72,5.50
GABA like neurons 14,2402.0,0.479,87.0,455,35,7.69,2.69 (2.03-3.34),420,92.31,4.52 (4.34-4.70),17.80,8.09
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.132,69.0,277,2,0.72,5.80 (5.23-6.36),275,99.28,3.87 (3.63-4.12),3.28,8.99
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,96.0,0.202,39.0,102,12,11.76,1.41 (1.02-1.79),90,88.24,3.67 (3.34-4.00),3.98,8.16
da neurons 6,729.0,0.226,82.0,182,5,2.75,2.84 (0.35-5.34),177,97.25,3.65 (3.40-3.91),2.44,8.69
astrocytes microglia 23,132.0,0.482,96.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.158,43.0,252,22,8.73,2.12 (1.28-2.97),230,91.27,4.32 (4.08-4.56),9.46,8.09
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.23,82.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.396,82.0,213,6,2.82,5.18 (4.30-6.05),207,97.18,3.95 (3.67-4.23),3.93,8.05
