tipo_celular,module_size,NELFA_MM,NELFA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.099,36.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07),1.98,4.36
oligodendrocyte progenitor cells 7,4285.0,0.137,52.0,353,55,15.58,2.20 (1.86-2.53),298,84.42,4.30 (4.12-4.48),22.35,5.43
GABA neurons expressing GLU receptors 22,203.0,0.307,65.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247.0,0.157,67.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20),2.50,3.25
da like neurons 11,215.0,0.128,26.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.387,89.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2090.0,0.181,69.0,74,13,17.57,2.16 (1.92-2.39),61,82.43,3.12 (2.68-3.57),3.33,12.03
astrocytes 8,727.0,0.177,83.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,3303.0,0.053,19.0,276,39,14.13,2.13 (1.81-2.46),237,85.87,3.86 (3.63-4.09),10.90,4.16
oligodendrocytes 10,1277.0,0.044,8.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,57.0,0.251,34.0,1,0,0.0,NA,1,100.0,NA,NA,1.69
astrocytes 15,1401.0,0.045,13.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09),1.43,3.85
oligodendrocytes 16,122.0,0.27,86.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,76.0,0.279,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.158,64.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.119,60.0,238,16,6.72,2.95 (2.31-3.59),222,93.28,3.69 (3.46-3.92),6.50,4.92
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.053,8.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.159,83.0,154,5,3.25,4.47 (4.47-4.47),149,96.75,3.21 (2.94-3.48),4.17,3.57
