tipo_celular,module_size,SUPT5H_MM,SUPT5H_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.078,3.0,102,41,40.2,2.76 (2.33-3.18),61,59.8,4.00 (3.50-4.50),3.67,2.60
T cells 18,477.0,0.19,68.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.067,2.0,136,11,8.09,2.70 (1.74-3.66),125,91.91,3.25 (2.97-3.54),6.00,4.90
oligodendrocyte progenitor cells 7,4285.0,0.11,18.0,353,72,20.4,2.65 (2.27-3.02),281,79.6,4.30 (4.12-4.49),17.72,5.59
GABA neurons expressing GLU receptors 22,567.0,0.172,41.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1247.0,0.065,7.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.133,52.0,133,50,37.59,2.29 (1.94-2.63),83,62.41,3.99 (3.59-4.40),5.68,3.25
GABA neurons expressing GABA receptors 13,75.0,0.191,75.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,916.0,0.086,11.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,271.0,0.183,55.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67),1.98,3.90
GABA like neurons 14,2402.0,0.187,37.0,455,30,6.59,2.34 (1.57-3.10),425,93.41,4.53 (4.35-4.71),18.45,8.16
astrocytes 8,603.0,0.064,40.0,89,9,10.11,1.22 (1.03-1.40),80,89.89,2.98 (2.61-3.34),5.09,6.15
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,53,19.2,2.35 (2.02-2.67),223,80.8,3.92 (3.68-4.16),9.07,4.17
oligodendrocytes 10,735.0,0.087,44.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.073,36.0,105,26,24.76,2.36 (1.63-3.10),79,75.24,3.51 (3.16-3.86),6.58,3.12
oligodendrocytes 16,113.0,0.186,59.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,448.0,0.101,50.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78),3.01,3.53
astrocytes microglia 23,161.0,0.317,57.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,787.0,0.141,31.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36),1.43,5.81
oligodendrocytes 0,2078.0,0.106,32.0,238,27,11.34,3.59 (2.95-4.22),211,88.66,3.64 (3.41-3.88),5.37,4.98
microglia 1,480.0,0.122,12.0,163,1,0.61,4.95 (NA-NA),162,99.39,3.70 (3.43-3.97),4.45,5.17
oligodendrocytes 3,743.0,0.045,6.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55),1.86,7.36
oligodendrocytes 2,1630.0,0.153,74.0,154,6,3.9,4.12 (3.43-4.81),148,96.1,3.21 (2.94-3.48),3.72,3.59
