tipo_celular,module_size,WARS2_MM,WARS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.112,44.0,136,6,4.41,2.75 (1.24-4.26),130,95.59,3.23 (2.96-3.51),6.24,4.93
oligodendrocyte progenitor cells 7,4285.0,0.093,6.0,353,28,7.93,1.77 (1.28-2.25),325,92.07,4.13 (3.96-4.31),34.51,5.79
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.137,38.0,74,4,5.41,1.83 (1.34-2.31),70,94.59,3.02 (2.62-3.41),4.40,10.85
astrocytes 8,218.0,0.031,5.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.057,23.0,276,19,6.88,1.99 (1.52-2.47),257,93.12,3.70 (3.47-3.92),16.73,4.25
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,92.0,0.464,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.061,24.0,105,14,13.33,1.54 (1.18-1.90),91,86.67,3.49 (3.14-3.85),8.21,3.33
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.301,46.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807.0,0.133,29.0,104,19,18.27,1.67 (1.28-2.05),85,81.73,3.16 (2.85-3.46),13.37,3.62
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
