tipo_celular,module_size,MRPS11_MM,MRPS11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.119,55.0,136,7,5.15,1.63 (1.31-1.94),129,94.85,3.31 (3.03-3.58),6.55,4.90
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,30,8.5,1.42 (1.13-1.72),323,91.5,4.20 (4.02-4.37),28.23,6.19
GABA neurons expressing GLU receptors 22,703.0,0.219,70.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,168.0,0.106,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.091,12.0,302,22,7.28,2.85 (2.39-3.32),280,92.72,4.11 (3.87-4.35),26.38,9.42
oligodendrocytes 20,330.0,0.203,59.0,36,6,16.67,1.79 (1.34-2.25),30,83.33,1.95 (1.53-2.36),3.95,2.96
GABA like neurons 14,2402.0,0.123,16.0,455,39,8.57,2.02 (1.66-2.38),416,91.43,4.66 (4.48-4.83),25.19,7.30
astrocytes 8,603.0,0.052,24.0,89,17,19.1,2.20 (1.65-2.74),72,80.9,2.96 (2.54-3.38),8.26,5.52
oligodendrocyte progenitor cells 12,1049.0,0.07,34.0,235,12,5.11,2.78 (2.25-3.31),223,94.89,3.90 (3.65-4.14),24.03,6.73
oligodendrocytes 10,735.0,0.079,36.0,277,2,0.72,3.49 (2.77-4.20),275,99.28,3.90 (3.65-4.14),4.02,8.98
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.116,76.0,105,19,18.1,1.52 (1.19-1.85),86,81.9,3.62 (3.27-3.98),7.60,3.18
oligodendrocytes 16,90.0,0.176,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.063,4.0,182,18,9.89,2.88 (2.33-3.43),164,90.11,3.74 (3.47-4.01),21.86,7.06
astrocytes microglia 23,125.0,0.307,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.141,43.0,104,19,18.27,1.49 (1.13-1.84),85,81.73,3.20 (2.91-3.49),11.92,3.94
oligodendrocytes 0,2078.0,0.088,8.0,238,2,0.84,1.66 (-1.19-4.52),236,99.16,3.66 (3.44-3.88),9.53,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.052,9.0,87,17,19.54,1.37 (1.07-1.67),70,80.46,2.91 (2.62-3.20),5.36,3.97
oligodendrocytes 2,1630.0,0.165,91.0,154,4,2.6,2.45 (1.87-3.04),150,97.4,3.27 (3.00-3.54),4.23,3.58
