tipo_celular,module_size,NDST1_MM,NDST1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.117,62.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,25,7.08,1.89 (1.29-2.49),328,92.92,4.09 (3.91-4.27),26.87,6.63
GABA neurons expressing GLU receptors 22,400.0,0.12,11.0,24,9,37.5,1.07 (0.48-1.66),15,62.5,2.81 (2.31-3.31),5.32,2.54
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,108.0,0.146,27.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.125,20.0,120,4,3.33,3.35 (2.52-4.18),116,96.67,4.66 (4.33-4.98),2.97,3.68
oligodendrocytes 20,330.0,0.119,26.0,36,2,5.56,1.21 (0.81-1.61),34,94.44,1.96 (1.60-2.33),3.08,3.13
GABA like neurons 14,2090.0,0.123,28.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33),3.72,10.69
astrocytes 8,727.0,0.096,42.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.103,45.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.102,46.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111.0,0.332,70.0,26,2,7.69,2.60 (2.45-2.75),24,92.31,2.52 (1.78-3.25),3.01,2.10
astrocytes 15,1768.0,0.101,64.0,105,14,13.33,1.64 (1.15-2.13),91,86.67,3.48 (3.13-3.83),5.36,3.77
oligodendrocytes 16,65.0,0.265,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,43.0,0.28,17.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA),NA,2.20
astrocytes 4,721.0,0.183,94.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,309.0,0.111,28.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.095,26.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.107,4.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72),1.49,2.43
