tipo_celular,module_size,PTPRF_MM,PTPRF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.072,5.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,15,4.25,1.58 (1.05-2.11),338,95.75,4.02 (3.84-4.21),24.76,7.32
GABA neurons expressing GLU receptors 22,823.0,0.265,90.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,380.0,0.145,32.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,200.0,0.132,24.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,265.0,0.164,53.0,78,2,2.56,NA,76,97.44,4.36 (3.94-4.77),1.49,4.34
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.151,45.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2090.0,0.185,72.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33),3.72,10.69
astrocytes 8,1266.0,0.06,26.0,66,7,10.61,1.26 (0.48-2.05),59,89.39,3.50 (3.09-3.91),3.60,2.87
oligodendrocyte progenitor cells 12,708.0,0.141,63.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806.0,0.162,51.0,261,7,2.68,3.65 (0.68-6.63),254,97.32,4.38 (4.13-4.62),7.61,6.02
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.106,15.0,9,1,11.11,3.13 (NA-NA),8,88.89,3.29 (1.80-4.77),2.11,2.23
oligodendrocytes 16,74.0,0.228,76.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,307.0,0.166,82.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,28.0,0.269,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.118,7.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,1186.0,0.115,12.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.089,23.0,6,1,16.67,6.20 (NA-NA),5,83.33,5.94 (4.78-7.11),2.02,2.05
oligodendrocytes 2,131.0,0.172,43.0,20,3,15.0,3.68 (1.21-6.15),17,85.0,4.70 (3.97-5.44),1.84,4.17
