tipo_celular,module_size,UBA52_MM,UBA52_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.445,84.0,98,27,27.55,2.85 (2.31-3.39),71,72.45,3.39 (2.74-4.03),32.92,6.05
T cells 18,506.0,0.424,89.0,225,38,16.89,3.04 (2.57-3.50),187,83.11,3.76 (3.47-4.04),23.69,4.70
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.185,77.0,108,11,10.19,3.64 (3.17-4.11),97,89.81,3.20 (2.71-3.70),36.68,14.90
GABA neurons expressing GLU receptors 22,848.0,0.294,74.0,262,42,16.03,3.47 (3.08-3.85),220,83.97,4.32 (4.03-4.60),7.02,3.55
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.262,73.0,410,64,15.61,3.45 (3.19-3.71),346,84.39,4.43 (4.21-4.64),13.17,6.47
GABA neurons expressing GABA receptors 13,265.0,0.11,17.0,78,9,11.54,3.57 (3.31-3.83),69,88.46,4.50 (4.02-4.97),3.29,4.39
endothelial cells 9,916.0,0.525,93.0,302,32,10.6,3.31 (2.88-3.73),270,89.4,4.08 (3.83-4.33),23.12,9.18
oligodendrocytes 20,348.0,0.098,44.0,33,2,6.06,3.07 (2.93-3.20),31,93.94,2.71 (2.19-3.23),2.26,3.45
GABA like neurons 14,2402.0,0.542,92.0,455,79,17.36,2.94 (2.63-3.25),376,82.64,4.72 (4.53-4.92),19.43,6.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.258,89.0,235,41,17.45,3.65 (3.37-3.92),194,82.55,3.86 (3.58-4.14),15.30,5.99
oligodendrocytes 10,483.0,0.291,81.0,129,13,10.08,3.72 (3.31-4.12),116,89.92,3.39 (2.95-3.83),47.94,15.97
connective tissue cells 21,301.0,0.386,55.0,158,26,16.46,3.41 (2.86-3.97),132,83.54,4.49 (4.05-4.92),23.86,3.76
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,96.0,0.208,42.0,102,40,39.22,2.42 (2.02-2.83),62,60.78,4.01 (3.61-4.41),13.76,3.73
da neurons 6,729.0,0.202,73.0,182,16,8.79,2.89 (2.27-3.52),166,91.21,3.72 (3.45-3.99),35.38,5.93
astrocytes microglia 23,137.0,0.38,58.0,188,42,22.34,2.86 (2.40-3.32),146,77.66,5.00 (4.62-5.37),19.35,3.63
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.209,68.0,252,77,30.56,2.97 (2.64-3.31),175,69.44,4.71 (4.42-4.99),15.88,4.84
microglia 1,406.0,0.467,86.0,278,11,3.96,3.97 (3.34-4.61),267,96.04,4.38 (4.10-4.67),52.99,4.83
oligodendrocytes 3,303.0,0.21,75.0,154,11,7.14,3.64 (3.17-4.11),143,92.86,3.62 (3.27-3.96),62.56,7.94
oligodendrocytes 2,526.0,0.357,76.0,213,18,8.45,3.90 (3.35-4.46),195,91.55,3.99 (3.69-4.28),30.38,5.86
