tipo_celular,module_size,XRCC4_MM,XRCC4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.196,81.0,71,7,9.86,1.72 (1.12-2.33),64,90.14,2.74 (2.29-3.19),3.45,3.59
T cells 18,393.0,0.081,6.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,499.0,0.102,9.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,45,12.75,2.24 (1.77-2.70),308,87.25,4.21 (4.03-4.38),27.18,5.27
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,489.0,0.089,16.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,137.0,0.183,19.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.132,54.0,297,6,2.02,3.73 (2.32-5.14),291,97.98,3.67 (3.47-3.88),5.25,5.52
oligodendrocytes 20,403.0,0.224,84.0,18,10,55.56,0.95 (0.48-1.41),8,44.44,3.04 (2.13-3.95),4.74,2.61
GABA like neurons 14,3052.0,0.13,42.0,125,2,1.6,3.13 (2.95-3.30),123,98.4,3.36 (3.03-3.69),3.66,8.69
astrocytes 8,727.0,0.106,48.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,29,10.51,1.97 (1.63-2.31),247,89.49,3.78 (3.56-4.01),14.38,4.02
oligodendrocytes 10,2107.0,0.175,60.0,358,46,12.85,2.18 (1.73-2.62),312,87.15,4.20 (4.02-4.39),28.62,6.65
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.101,64.0,105,21,20.0,1.88 (1.43-2.34),84,80.0,3.58 (3.21-3.95),6.90,3.25
oligodendrocytes 16,156.0,0.15,11.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.272,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.122,9.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,309.0,0.122,36.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,813.0,0.146,76.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,639.0,0.111,62.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,804.0,0.129,23.0,84,6,7.14,1.20 (0.51-1.89),78,92.86,2.83 (2.49-3.18),2.65,3.45
