tipo_celular,module_size,ADCY2_MM,ADCY2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.195,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,200.0,0.234,73.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.562,100.0,135,11,8.15,1.39 (0.76-2.01),124,91.85,3.34 (3.03-3.65),3.34,3.79
da like neurons 11,137.0,0.398,84.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,288.0,0.137,31.0,93,11,11.83,3.01 (1.37-4.66),82,88.17,5.42 (4.93-5.90),3.18,4.05
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.247,68.0,306,21,6.86,2.54 (1.64-3.43),285,93.14,5.31 (5.05-5.56),10.69,6.41
astrocytes 8,279.0,0.226,29.0,78,14,17.95,3.49 (2.36-4.62),64,82.05,4.48 (4.04-4.91),3.31,2.58
oligodendrocyte progenitor cells 12,143.0,0.472,84.0,1,1,100.0,7.70 (NA-NA),0,0.0,NA,1.31,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84.0,0.243,32.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,1401.0,0.168,93.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.139,77.0,122,7,5.74,2.44 (0.28-4.59),115,94.26,4.09 (3.71-4.48),3.57,3.48
astrocytes microglia 23,89.0,0.363,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161.0,0.173,49.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
