tipo_celular,module_size,VEGFA_MM,VEGFA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.173,52.0,128,9,7.03,4.68 (4.23-5.13),119,92.97,3.45 (3.09-3.82),3.14,7.04
oligodendrocyte progenitor cells 7,666.0,0.14,28.0,127,42,33.07,3.87 (3.38-4.36),85,66.93,3.80 (3.33-4.27),3.41,7.04
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,168.0,0.088,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.194,89.0,89,9,10.11,2.00 (1.11-2.89),80,89.89,2.88 (2.51-3.26),4.14,6.26
oligodendrocyte progenitor cells 12,1049.0,0.183,82.0,235,7,2.98,3.55 (3.10-4.01),228,97.02,3.83 (3.59-4.07),4.89,7.70
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,57.0,0.364,79.0,1,0,0.0,NA,1,100.0,NA,NA,1.69
astrocytes 15,1768.0,0.17,96.0,105,25,23.81,2.00 (1.60-2.39),80,76.19,3.63 (3.25-4.02),5.95,3.36
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,41.0,0.383,70.0,3,3,100.0,NA,0,0.0,NA,1.65,NA
astrocytes 4,208.0,0.201,53.0,173,32,18.5,5.05 (4.44-5.67),141,81.5,3.47 (3.16-3.78),2.79,6.26
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
