tipo_celular,module_size,DDX3Y_MM,DDX3Y_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.357,96.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,518.0,0.125,27.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656.0,0.117,51.0,136,4,2.94,3.28 (1.14-5.42),132,97.06,3.21 (2.93-3.48),4.78,4.99
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.176,87.0,275,26,9.45,1.91 (1.31-2.51),249,90.55,4.21 (3.95-4.47),12.74,5.17
oligodendrocytes 20,676.0,0.053,24.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,2402.0,0.177,33.0,455,19,4.18,1.67 (1.07-2.26),436,95.82,4.49 (4.31-4.67),25.73,8.10
astrocytes 8,727.0,0.052,12.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.047,7.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62),8.93,6.05
connective tissue cells 21,136.0,0.351,77.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,458.0,0.075,38.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,92.0,0.376,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,86.0,0.375,80.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,1.66
astrocytes 4,255.0,0.221,76.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,613.0,0.179,79.0,127,5,3.94,3.56 (2.92-4.21),122,96.06,3.03 (2.60-3.46),5.79,6.30
microglia 1,958.0,0.087,15.0,290,8,2.76,2.61 (1.38-3.84),282,97.24,3.84 (3.60-4.07),5.66,4.98
oligodendrocytes 3,681.0,0.132,78.0,87,12,13.79,1.91 (1.28-2.54),75,86.21,2.70 (2.41-2.99),9.08,3.47
oligodendrocytes 2,921.0,0.183,96.0,200,5,2.5,4.15 (3.05-5.25),195,97.5,3.61 (3.34-3.88),4.23,3.44
