tipo_celular,module_size,PGRMC1_MM,PGRMC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.366,95.0,164,14,8.54,3.31 (2.63-4.00),150,91.46,4.16 (3.81-4.51),4.34,7.82
GABA neurons expressing GLU receptors 22,848.0,0.39,90.0,262,32,12.21,4.09 (3.33-4.85),230,87.79,4.17 (3.91-4.43),6.12,3.82
GLU like neurons 17,489.0,0.189,75.0,42,6,14.29,5.18 (3.89-6.47),36,85.71,6.15 (5.55-6.76),5.03,2.91
da like neurons 11,1220.0,0.474,96.0,410,34,8.29,3.78 (3.18-4.39),376,91.71,4.30 (4.11-4.50),12.16,7.10
GABA neurons expressing GABA receptors 13,265.0,0.482,100.0,78,18,23.08,3.91 (3.05-4.78),60,76.92,4.52 (4.06-4.99),3.78,4.41
endothelial cells 9,338.0,0.249,79.0,191,7,3.66,3.56 (2.75-4.37),184,96.34,3.90 (3.67-4.13),4.24,9.34
oligodendrocytes 20,938.0,0.189,76.0,169,21,12.43,2.55 (2.06-3.04),148,87.57,3.63 (3.40-3.86),4.76,5.45
GABA like neurons 14,2402.0,0.583,94.0,455,40,8.79,3.19 (2.52-3.86),415,91.21,4.49 (4.31-4.68),20.32,7.73
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.094,42.0,32,11,34.38,1.83 (0.97-2.69),21,65.62,4.16 (3.16-5.16),3.41,2.17
oligodendrocytes 10,806.0,0.503,96.0,261,31,11.88,3.77 (3.08-4.46),230,88.12,4.46 (4.21-4.72),6.91,5.95
connective tissue cells 21,101.0,0.34,59.0,116,20,17.24,3.49 (2.51-4.47),96,82.76,4.95 (4.53-5.37),4.70,2.91
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.42,89.0,291,32,11.0,4.02 (3.40-4.65),259,89.0,4.37 (4.13-4.61),6.07,3.54
da neurons 6,300.0,0.289,85.0,159,8,5.03,4.83 (3.66-5.99),151,94.97,4.34 (4.02-4.66),2.71,3.78
astrocytes microglia 23,86.0,0.422,91.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,1.66
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.208,92.0,127,6,4.72,3.55 (3.13-3.98),121,95.28,3.01 (2.56-3.46),3.49,6.42
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.281,92.0,345,35,10.14,4.29 (3.68-4.91),310,89.86,4.27 (4.05-4.49),8.32,5.40
oligodendrocytes 2,528.0,0.412,95.0,175,20,11.43,3.45 (2.75-4.14),155,88.57,4.54 (4.16-4.92),7.36,4.27
