tipo_celular,module_size,NOTCH2_MM,NOTCH2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.158,22.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,610.0,0.159,57.0,98,32,32.65,1.76 (1.41-2.10),66,67.35,3.90 (3.59-4.20),6.53,2.83
astrocytes 5,1141.0,0.129,46.0,166,37,22.29,2.32 (1.98-2.67),129,77.71,3.79 (3.50-4.07),5.97,4.14
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,62,17.56,2.12 (1.86-2.39),291,82.44,4.41 (4.24-4.59),19.59,5.61
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.249,58.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,1266.0,0.086,55.0,66,28,42.42,2.67 (2.07-3.28),38,57.58,3.76 (3.24-4.28),3.26,2.73
oligodendrocyte progenitor cells 12,3303.0,0.116,87.0,276,46,16.67,2.09 (1.85-2.32),230,83.33,3.95 (3.71-4.19),9.29,4.27
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,85.0,0.288,40.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,1768.0,0.164,95.0,105,26,24.76,1.89 (1.49-2.28),79,75.24,3.70 (3.32-4.07),5.80,3.38
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,116.0,0.186,2.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,752.0,0.144,36.0,96,18,18.75,3.50 (2.85-4.15),78,81.25,3.23 (2.84-3.61),2.45,4.75
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,346.0,0.247,86.0,43,1,2.33,4.56 (NA-NA),42,97.67,3.74 (3.23-4.26),1.34,4.56
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
