tipo_celular,module_size,PPP2R3A_MM,PPP2R3A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.131,49.0,166,19,11.45,2.36 (1.81-2.91),147,88.55,3.56 (3.29-3.82),4.16,4.60
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,24,6.8,2.40 (1.87-2.92),329,93.2,4.03 (3.84-4.22),16.51,7.45
GABA neurons expressing GLU receptors 22,823.0,0.089,5.0,23,4,17.39,2.73 (1.56-3.90),19,82.61,2.30 (1.42-3.18),1.73,3.78
GLU like neurons 17,1316.0,0.124,50.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41),3.61,3.05
da like neurons 11,289.0,0.29,87.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.161,34.0,74,4,5.41,5.27 (4.98-5.56),70,94.59,5.48 (4.88-6.08),5.55,3.53
oligodendrocytes 20,253.0,0.236,78.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052.0,0.155,64.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,354.0,0.195,85.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708.0,0.145,64.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.199,90.0,27,3,11.11,7.31 (5.40-9.21),24,88.89,5.17 (4.28-6.06),2.05,6.92
connective tissue cells 21,126.0,0.339,82.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79),3.29,1.65
astrocytes 15,1768.0,0.132,84.0,105,17,16.19,2.31 (1.65-2.97),88,83.81,3.40 (3.03-3.77),6.04,3.58
oligodendrocytes 16,104.0,0.237,67.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,124.0,0.249,15.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,752.0,0.129,17.0,96,7,7.29,2.84 (1.95-3.73),89,92.71,3.33 (2.98-3.69),2.16,4.49
oligodendrocytes 0,479.0,0.186,74.0,40,5,12.5,4.63 (4.05-5.22),35,87.5,6.09 (5.53-6.65),2.51,3.61
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.208,94.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,237.0,0.191,36.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
