tipo_celular,module_size,NUPR1_MM,NUPR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.185,33.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.413,94.0,128,10,7.81,5.32 (4.67-5.97),118,92.19,3.36 (3.01-3.71),2.52,7.12
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.306,73.0,302,32,10.6,4.49 (3.91-5.06),270,89.4,3.89 (3.65-4.14),11.32,10.57
oligodendrocytes 20,938.0,0.199,81.0,169,31,18.34,3.38 (2.99-3.77),138,81.66,3.51 (3.25-3.77),3.51,5.78
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.216,91.0,89,10,11.24,1.84 (0.90-2.79),79,88.76,2.93 (2.56-3.29),4.93,6.18
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,483.0,0.227,75.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82),2.60,19.32
connective tissue cells 21,301.0,0.264,19.0,158,17,10.76,3.36 (2.57-4.14),141,89.24,4.42 (4.02-4.83),3.94,7.44
astrocytes 15,1401.0,0.225,98.0,96,9,9.38,2.99 (2.25-3.73),87,90.62,3.69 (3.20-4.19),2.88,3.89
oligodendrocytes 16,123.0,0.28,88.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.257,20.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,208.0,0.292,81.0,173,12,6.94,4.80 (4.22-5.39),161,93.06,3.68 (3.36-4.00),3.22,5.80
oligodendrocytes 0,546.0,0.19,62.0,252,54,21.43,3.23 (2.74-3.72),198,78.57,4.43 (4.17-4.70),6.80,8.59
microglia 1,346.0,0.357,96.0,43,1,2.33,6.89 (NA-NA),42,97.67,3.68 (3.19-4.17),1.62,4.55
oligodendrocytes 3,303.0,0.183,67.0,154,2,1.3,6.23 (5.73-6.73),152,98.7,3.58 (3.26-3.89),1.99,11.97
oligodendrocytes 2,526.0,0.352,76.0,213,26,12.21,4.41 (3.97-4.86),187,87.79,3.90 (3.58-4.21),7.36,8.02
