tipo_celular,module_size,ADGRB1_MM,ADGRB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.117,62.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,4285.0,0.073,2.0,353,35,9.92,2.54 (2.02-3.05),318,90.08,4.09 (3.90-4.28),16.42,7.14
GABA neurons expressing GLU receptors 22,1069.0,0.188,67.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,1247.0,0.158,67.0,51,4,7.84,3.77 (1.81-5.74),47,92.16,3.61 (3.00-4.22),3.68,3.20
da like neurons 11,853.0,0.054,2.0,133,21,15.79,2.65 (1.70-3.60),112,84.21,3.37 (3.05-3.69),4.91,4.02
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.108,18.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34),2.12,10.61
astrocytes 8,1266.0,0.056,21.0,66,20,30.3,3.16 (2.41-3.92),46,69.7,3.26 (2.75-3.77),2.74,3.05
oligodendrocyte progenitor cells 12,411.0,0.081,42.0,103,22,21.36,5.33 (4.42-6.23),81,78.64,5.61 (5.18-6.03),4.94,2.58
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.213,85.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09),2.16,2.35
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.388,90.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,251.0,0.257,92.0,34,3,8.82,3.18 (1.69-4.67),31,91.18,5.53 (4.95-6.11),2.92,3.09
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
