tipo_celular,module_size,CSGALNACT1_MM,CSGALNACT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.263,85.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,393.0,0.257,84.0,59,2,3.39,3.09 (2.64-3.53),57,96.61,3.11 (2.59-3.63),2.89,5.43
astrocytes 5,222.0,0.229,61.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00),NA,2.65
oligodendrocyte progenitor cells 7,436.0,0.064,10.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.147,59.0,135,9,6.67,1.28 (0.93-1.64),126,93.33,3.35 (3.04-3.66),4.65,3.69
da like neurons 11,197.0,0.291,75.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.288,75.0,120,7,5.83,3.55 (3.01-4.09),113,94.17,4.68 (4.35-5.01),2.77,3.71
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.164,71.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,279.0,0.317,71.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73),NA,2.71
oligodendrocyte progenitor cells 12,411.0,0.431,93.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.477,88.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,59.0,0.215,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,220.0,0.172,55.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69),NA,3.29
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.256,100.0,161,18,11.18,1.18 (0.76-1.60),143,88.82,3.60 (3.35-3.86),12.42,4.55
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
