tipo_celular,module_size,OSBPL1A_MM,OSBPL1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.317,97.0,19,1,5.26,3.38 (NA-NA),18,94.74,2.47 (1.72-3.22),2.29,3.39
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.231,84.0,80,4,5.0,4.78 (4.78-4.78),76,95.0,3.34 (2.85-3.83),1.99,5.18
oligodendrocyte progenitor cells 7,666.0,0.194,68.0,127,8,6.3,3.15 (1.67-4.64),119,93.7,3.87 (3.52-4.21),3.40,6.00
GABA neurons expressing GLU receptors 22,599.0,0.158,25.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,637.0,0.29,81.0,91,11,12.09,1.17 (0.42-1.91),80,87.91,5.13 (4.68-5.58),3.37,3.02
da like neurons 11,408.0,0.287,72.0,25,3,12.0,1.10 (-0.55-2.76),22,88.0,5.00 (3.67-6.34),2.31,2.27
GABA neurons expressing GABA receptors 13,266.0,0.211,75.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,450.0,0.234,57.0,74,2,2.7,4.44 (2.36-6.52),72,97.3,5.51 (4.94-6.08),1.53,3.69
oligodendrocytes 20,676.0,0.198,42.0,110,1,0.91,2.91 (NA-NA),109,99.09,5.02 (4.57-5.47),1.59,3.54
GABA like neurons 14,3052.0,0.107,23.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.207,93.0,83,1,1.2,NA,82,98.8,3.25 (2.80-3.70),2.58,4.49
oligodendrocyte progenitor cells 12,143.0,0.371,22.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,236.0,0.43,34.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,250.0,0.248,31.0,117,4,3.42,2.12 (1.30-2.94),113,96.58,5.49 (5.10-5.88),4.82,3.70
astrocytes 15,377.0,0.122,27.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,287.0,0.262,38.0,105,4,3.81,3.41 (1.69-5.13),101,96.19,5.15 (4.69-5.61),4.03,3.45
da neurons 6,398.0,0.223,74.0,138,5,3.62,1.81 (0.20-3.43),133,96.38,4.93 (4.57-5.29),2.96,2.73
astrocytes microglia 23,58.0,0.171,2.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA),NA,2.04
astrocytes 4,514.0,0.351,92.0,95,4,4.21,4.78 (4.78-4.78),91,95.79,3.31 (2.88-3.74),1.74,4.77
oligodendrocytes 0,261.0,0.166,39.0,42,0,0.0,NA,42,100.0,4.06 (3.37-4.75),NA,2.27
microglia 1,1615.0,0.124,70.0,161,15,9.32,1.10 (0.60-1.60),146,90.68,3.55 (3.29-3.81),12.93,4.66
oligodendrocytes 3,99.0,0.216,41.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237.0,0.154,20.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
