tipo_celular,module_size,SYCP2_MM,SYCP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.118,54.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51),6.31,4.97
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,23,6.52,1.62 (1.22-2.03),330,93.48,4.10 (3.92-4.28),30.04,6.53
GABA neurons expressing GLU receptors 22,714.0,0.099,8.0,17,4,23.53,2.46 (2.14-2.78),13,76.47,2.26 (1.50-3.03),2.59,3.87
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,140.0,0.069,31.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,411.0,0.044,18.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.334,100.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.364,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.166,87.0,104,10,9.62,1.51 (0.94-2.08),94,90.38,3.02 (2.73-3.31),15.16,4.36
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
