tipo_celular,module_size,CDC123_MM,CDC123_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.152,52.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,624.0,0.113,20.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.106,35.0,136,1,0.74,1.23 (NA-NA),135,99.26,3.23 (2.95-3.50),6.23,4.98
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,19,5.38,2.13 (1.59-2.67),334,94.62,4.01 (3.83-4.20),12.08,7.84
GABA neurons expressing GLU receptors 22,487.0,0.206,47.0,73,1,1.37,3.22 (NA-NA),72,98.63,2.75 (2.36-3.14),1.45,7.41
GLU like neurons 17,1316.0,0.127,53.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,82.0,0.283,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.068,6.0,297,1,0.34,3.56 (NA-NA),296,99.66,3.67 (3.47-3.88),1.31,5.53
oligodendrocytes 20,938.0,0.043,9.0,169,4,2.37,1.33 (0.15-2.51),165,97.63,3.54 (3.33-3.76),2.93,5.42
GABA like neurons 14,2402.0,0.082,4.0,455,11,2.42,2.23 (1.41-3.05),444,97.58,4.41 (4.22-4.59),20.11,8.56
astrocytes 8,603.0,0.038,8.0,89,2,2.25,2.39 (0.12-4.67),87,97.75,2.77 (2.41-3.13),4.85,6.07
oligodendrocyte progenitor cells 12,708.0,0.036,5.0,32,4,12.5,1.70 (0.57-2.84),28,87.5,3.50 (2.61-4.39),3.62,2.45
oligodendrocytes 10,2107.0,0.063,10.0,358,9,2.51,1.27 (0.70-1.85),349,97.49,3.95 (3.76-4.14),17.84,9.26
connective tissue cells 21,102.0,0.355,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.059,25.0,96,1,1.04,2.89 (NA-NA),95,98.96,3.62 (3.17-4.08),1.57,3.82
oligodendrocytes 16,156.0,0.212,60.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,729.0,0.095,20.0,182,2,1.1,2.87 (2.83-2.90),180,98.9,3.65 (3.39-3.90),4.89,8.56
astrocytes microglia 23,125.0,0.261,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.139,38.0,104,4,3.85,0.98 (0.23-1.74),100,96.15,2.94 (2.66-3.22),5.57,5.39
oligodendrocytes 0,2078.0,0.114,49.0,238,4,1.68,1.92 (0.53-3.31),234,98.32,3.67 (3.45-3.89),5.39,5.02
microglia 1,813.0,0.108,41.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,639.0,0.039,2.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23),3.88,1.96
oligodendrocytes 2,1630.0,0.142,51.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
