tipo_celular,module_size,ITGB8_MM,ITGB8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,118.0,0.249,77.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,448.0,0.164,69.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.413,93.0,91,11,12.09,2.56 (1.56-3.56),80,87.91,4.92 (4.38-5.47),2.08,3.19
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.079,25.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052.0,0.08,8.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,279.0,0.265,44.0,78,19,24.36,2.95 (2.32-3.58),59,75.64,4.82 (4.37-5.26),3.32,2.51
oligodendrocyte progenitor cells 12,153.0,0.453,70.0,27,3,11.11,3.58 (2.60-4.56),24,88.89,5.11 (3.92-6.31),3.02,2.04
oligodendrocytes 10,130.0,0.141,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,114.0,0.298,61.0,11,1,9.09,NA,10,90.91,1.61 (0.55-2.67),2.08,2.15
astrocytes 15,208.0,0.462,85.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,151.0,0.17,35.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.376,80.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,255.0,0.256,89.0,12,1,8.33,NA,11,91.67,4.62 (3.76-5.48),1.30,2.42
oligodendrocytes 0,613.0,0.233,95.0,127,7,5.51,1.92 (1.49-2.35),120,94.49,3.16 (2.72-3.60),2.94,6.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.167,90.0,87,21,24.14,2.07 (1.61-2.53),66,75.86,2.77 (2.45-3.08),3.68,4.42
oligodendrocytes 2,348.0,0.166,35.0,114,13,11.4,3.54 (2.93-4.16),101,88.6,5.41 (4.97-5.86),5.82,4.21
