tipo_celular,module_size,BARD1_MM,BARD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.061,1.0,102,54,52.94,3.15 (2.73-3.56),48,47.06,3.91 (3.31-4.51),3.70,2.29
T cells 18,624.0,0.283,99.0,142,13,9.15,3.86 (3.34-4.37),129,90.85,3.13 (2.85-3.42),2.90,4.44
astrocytes 5,1141.0,0.136,58.0,166,72,43.37,2.96 (2.63-3.30),94,56.63,3.76 (3.41-4.11),5.70,3.66
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,103,29.18,2.69 (2.43-2.96),250,70.82,4.50 (4.31-4.70),17.73,4.08
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.043,16.0,110,6,5.45,1.31 (0.80-1.82),104,94.55,5.24 (4.83-5.66),3.66,3.52
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,727.0,0.05,10.0,29,2,6.9,2.49 (1.16-3.83),27,93.1,2.35 (1.83-2.88),3.46,3.55
oligodendrocyte progenitor cells 12,708.0,0.133,60.0,32,14,43.75,2.03 (1.20-2.87),18,56.25,4.16 (3.07-5.24),2.97,2.31
oligodendrocytes 10,2107.0,0.203,70.0,358,119,33.24,2.79 (2.53-3.05),239,66.76,4.59 (4.38-4.79),18.43,5.01
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.044,12.0,96,12,12.5,3.21 (2.11-4.31),84,87.5,3.68 (3.19-4.17),3.26,3.87
oligodendrocytes 16,113.0,0.167,42.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.257,20.0,6,4,66.67,5.75 (NA-NA),2,33.33,NA,2.10,1.92
astrocytes 4,787.0,0.154,55.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.128,79.0,238,38,15.97,3.47 (3.06-3.87),200,84.03,3.67 (3.42-3.92),6.49,4.74
microglia 1,1615.0,0.099,34.0,161,74,45.96,2.42 (2.11-2.72),87,54.04,4.16 (3.83-4.49),8.35,2.95
oligodendrocytes 3,1003.0,0.101,56.0,111,8,7.21,3.60 (2.65-4.54),103,92.79,3.29 (2.93-3.64),3.58,4.28
oligodendrocytes 2,1630.0,0.103,4.0,154,4,2.6,3.23 (2.85-3.60),150,97.4,3.25 (2.97-3.52),2.21,3.63
