tipo_celular,module_size,ABCA8_MM,ABCA8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.273,65.0,74,1,1.35,NA,73,98.65,5.46 (4.91-6.02),2.58,3.65
oligodendrocytes 20,676.0,0.402,68.0,110,4,3.64,1.15 (0.52-1.77),106,96.36,5.15 (4.72-5.57),3.37,3.53
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,236.0,0.673,92.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,114.0,0.468,95.0,19,2,10.53,4.47 (4.47-4.47),17,89.47,4.95 (4.15-5.76),2.76,2.04
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,287.0,0.502,99.0,105,6,5.71,2.23 (1.03-3.43),99,94.29,5.34 (4.92-5.77),3.29,3.48
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,261.0,0.197,59.0,42,3,7.14,1.15 (0.52-1.77),39,92.86,4.36 (3.69-5.03),2.37,2.27
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,127.0,0.244,46.0,45,4,8.89,1.91 (1.09-2.72),41,91.11,4.75 (3.88-5.63),2.00,6.30
oligodendrocytes 2,348.0,0.124,11.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59),4.38,4.39
