tipo_celular,module_size,PHB_MM,PHB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.272,75.0,410,41,10.0,3.39 (2.96-3.82),369,90.0,4.37 (4.17-4.57),13.96,6.80
GABA neurons expressing GABA receptors 13,417.0,0.198,71.0,213,43,20.19,2.23 (1.78-2.68),170,79.81,4.24 (4.01-4.48),11.24,9.29
endothelial cells 9,916.0,0.268,66.0,302,19,6.29,3.00 (2.24-3.77),283,93.71,4.07 (3.84-4.31),16.49,10.26
oligodendrocytes 20,938.0,0.167,69.0,169,32,18.93,2.96 (2.44-3.48),137,81.07,3.61 (3.37-3.84),6.75,5.04
GABA like neurons 14,2402.0,0.437,83.0,455,54,11.87,2.70 (2.25-3.14),401,88.13,4.64 (4.45-4.82),19.59,7.39
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.211,91.0,277,8,2.89,5.24 (4.69-5.80),269,97.11,3.85 (3.61-4.10),2.33,9.14
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.193,51.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,729.0,0.167,58.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93),4.01,8.60
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.18,56.0,252,49,19.44,2.60 (2.13-3.07),203,80.56,4.54 (4.29-4.79),12.07,7.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.106,44.0,345,31,8.99,3.84 (3.35-4.32),314,91.01,4.33 (4.10-4.55),10.15,5.25
oligodendrocytes 2,526.0,0.281,55.0,213,9,4.23,3.47 (2.56-4.38),204,95.77,4.01 (3.72-4.29),7.48,7.96
