tipo_celular,module_size,ARHGEF9_MM,ARHGEF9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.261,78.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,282,0.1,22.0,241,1,0.41,2.23 (NA-NA),240,99.59,4.07 (3.81-4.32),2.68,4.35
astrocytes 5,228,0.097,7.0,266,12,4.51,2.65 (1.59-3.72),254,95.49,4.20 (4.00-4.41),5.31,4.96
oligodendrocyte progenitor cells 7,4285,0.118,25.0,353,17,4.82,2.57 (1.67-3.47),336,95.18,3.98 (3.79-4.16),18.45,7.54
GABA neurons expressing GLU receptors 22,703,0.228,75.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1316,0.094,23.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,209,0.143,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,80,0.175,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,338,0.113,41.0,191,1,0.52,2.23 (NA-NA),190,99.48,3.90 (3.67-4.12),4.44,9.18
oligodendrocytes 20,221,0.279,75.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402,0.079,4.0,455,8,1.76,1.74 (0.79-2.68),447,98.24,4.41 (4.22-4.59),28.26,8.49
astrocytes 8,727,0.041,5.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,3303,0.096,71.0,276,10,3.62,2.94 (1.74-4.14),266,96.38,3.57 (3.35-3.79),4.91,5.12
oligodendrocytes 10,806,0.105,29.0,261,8,3.07,4.81 (3.95-5.67),253,96.93,4.35 (4.10-4.60),5.00,6.10
connective tissue cells 21,84,0.363,82.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,1768,0.049,14.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66),4.55,3.95
oligodendrocytes 16,75,0.189,52.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,553,0.133,54.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58),NA,3.03
astrocytes microglia 23,122,0.357,82.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,721,0.123,9.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,309,0.11,25.0,30,4,13.33,5.16 (5.16-5.16),26,86.67,6.18 (5.53-6.83),2.42,2.94
microglia 1,1615,0.09,22.0,161,14,8.7,2.71 (1.62-3.80),147,91.3,3.34 (3.07-3.61),7.69,5.22
oligodendrocytes 3,639,0.057,13.0,15,6,40.0,2.30 (-0.42-5.03),9,60.0,3.94 (2.54-5.35),2.46,2.06
oligodendrocytes 2,347,0.165,34.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
