tipo_celular,module_size,UTP18_MM,UTP18_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.181,68.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,610.0,0.144,43.0,98,15,15.31,1.52 (0.92-2.12),83,84.69,3.45 (3.14-3.76),10.66,2.84
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.145,66.0,353,30,8.5,1.90 (1.45-2.35),323,91.5,4.13 (3.95-4.31),28.06,6.21
GABA neurons expressing GLU receptors 22,703.0,0.18,46.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.069,22.0,169,14,8.28,3.00 (1.78-4.21),155,91.72,3.53 (3.31-3.74),5.50,5.35
GABA like neurons 14,3052.0,0.073,6.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.044,12.0,235,8,3.4,4.30 (2.51-6.09),227,96.6,3.81 (3.57-4.04),10.63,7.51
oligodendrocytes 10,2107.0,0.088,22.0,358,26,7.26,1.79 (1.31-2.28),332,92.74,4.08 (3.89-4.26),34.01,7.55
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.239,63.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.323,51.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.107,35.0,238,2,0.84,0.21 (NA-NA),236,99.16,3.65 (3.43-3.87),7.62,5.00
microglia 1,813.0,0.106,36.0,79,5,6.33,3.78 (2.16-5.39),74,93.67,3.05 (2.63-3.47),4.84,8.11
oligodendrocytes 3,681.0,0.065,21.0,87,13,14.94,1.69 (1.16-2.23),74,85.06,2.76 (2.46-3.05),8.32,3.52
oligodendrocytes 2,1630.0,0.153,73.0,154,4,2.6,4.26 (2.57-5.95),150,97.4,3.21 (2.95-3.48),2.84,3.61
