tipo_celular,module_size,EGLN3_MM,EGLN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.203,76.0,80,4,5.0,3.85 (2.01-5.68),76,95.0,3.37 (2.88-3.87),2.25,5.17
oligodendrocyte progenitor cells 7,200.0,0.19,58.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.234,83.0,135,16,11.85,2.39 (1.62-3.16),119,88.15,3.32 (2.99-3.65),3.88,3.73
da like neurons 11,94.0,0.063,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.17,46.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2090.0,0.17,60.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33),4.19,10.67
astrocytes 8,577.0,0.175,87.0,83,5,6.02,3.01 (1.55-4.46),78,93.98,3.27 (2.80-3.74),2.79,4.58
oligodendrocyte progenitor cells 12,3303.0,0.116,87.0,276,19,6.88,2.02 (1.59-2.46),257,93.12,3.69 (3.47-3.92),18.31,4.13
oligodendrocytes 10,1277.0,0.099,44.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,57.0,0.223,22.0,1,0,0.0,NA,1,100.0,NA,NA,1.69
astrocytes 15,1768.0,0.105,67.0,105,15,14.29,1.80 (1.32-2.28),90,85.71,3.47 (3.11-3.83),8.34,3.25
oligodendrocytes 16,74.0,0.196,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,92.0,0.171,4.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91),NA,1.89
astrocytes 4,514.0,0.236,72.0,95,7,7.37,2.71 (1.25-4.18),88,92.63,3.44 (3.00-3.88),2.76,4.79
oligodendrocytes 0,613.0,0.145,52.0,127,4,3.15,2.60 (1.50-3.71),123,96.85,3.07 (2.64-3.51),6.23,6.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.113,65.0,87,17,19.54,2.05 (1.40-2.69),70,80.46,2.73 (2.44-3.02),7.96,3.34
oligodendrocytes 2,921.0,0.122,26.0,200,2,1.0,2.38 (1.56-3.20),198,99.0,3.64 (3.37-3.91),5.89,3.44
