tipo_celular,module_size,IFT20_MM,IFT20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,52,14.73,2.80 (2.24-3.37),301,85.27,4.09 (3.90-4.27),15.57,6.77
GABA neurons expressing GLU receptors 22,703.0,0.185,50.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,142.0,0.054,1.0,2,1,50.0,4.56 (NA-NA),1,50.0,NA,1.59,1.83
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.217,65.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,3052.0,0.106,22.0,125,10,8.0,4.34 (3.93-4.76),115,92.0,3.31 (2.98-3.64),2.63,9.13
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.035,4.0,32,14,43.75,1.82 (1.09-2.54),18,56.25,4.48 (3.46-5.51),3.24,2.10
oligodendrocytes 10,1277.0,0.036,5.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,112.0,0.078,0.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,132.0,0.431,90.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.119,60.0,238,11,4.62,3.75 (2.02-5.49),227,95.38,3.63 (3.41-3.85),6.65,4.94
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.042,4.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.151,69.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
