tipo_celular,module_size,FAU_MM,FAU_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.435,81.0,98,21,21.43,2.70 (2.13-3.26),77,78.57,3.44 (2.82-4.06),38.32,6.67
T cells 18,506.0,0.463,92.0,225,25,11.11,2.76 (2.29-3.23),200,88.89,3.76 (3.49-4.04),26.52,5.58
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.417,98.0,108,9,8.33,3.63 (3.10-4.16),99,91.67,3.21 (2.72-3.70),37.85,15.24
GABA neurons expressing GLU receptors 22,487.0,0.444,97.0,73,15,20.55,2.75 (2.11-3.38),58,79.45,2.76 (2.29-3.22),12.84,5.90
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417.0,0.207,75.0,213,31,14.55,2.20 (1.69-2.71),182,85.45,4.12 (3.88-4.36),14.28,8.90
endothelial cells 9,916.0,0.595,98.0,302,10,3.31,3.46 (2.62-4.30),292,96.69,4.01 (3.77-4.24),42.45,9.56
oligodendrocytes 20,938.0,0.237,88.0,169,16,9.47,2.96 (2.27-3.64),153,90.53,3.55 (3.32-3.78),16.61,4.19
GABA like neurons 14,2402.0,0.547,92.0,455,35,7.69,2.17 (1.71-2.63),420,92.31,4.60 (4.42-4.78),25.98,7.41
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.517,99.0,235,12,5.11,3.61 (3.15-4.07),223,94.89,3.84 (3.59-4.08),32.24,6.29
oligodendrocytes 10,483.0,0.383,89.0,129,11,8.53,3.72 (3.27-4.16),118,91.47,3.39 (2.96-3.83),48.94,16.42
connective tissue cells 21,301.0,0.551,86.0,158,16,10.13,2.79 (2.15-3.43),142,89.87,4.51 (4.12-4.91),32.44,4.21
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,96.0,0.299,79.0,102,30,29.41,2.35 (1.89-2.80),72,70.59,3.91 (3.53-4.28),16.35,4.05
da neurons 6,729.0,0.262,90.0,182,15,8.24,2.75 (2.11-3.38),167,91.76,3.74 (3.47-4.00),32.54,6.36
astrocytes microglia 23,137.0,0.355,46.0,188,34,18.09,2.44 (1.96-2.91),154,81.91,4.99 (4.65-5.33),22.11,3.84
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.318,92.0,252,33,13.1,2.20 (1.72-2.68),219,86.9,4.49 (4.25-4.73),23.66,5.88
microglia 1,406.0,0.559,95.0,278,9,3.24,3.68 (3.18-4.17),269,96.76,4.40 (4.11-4.68),54.02,5.15
oligodendrocytes 3,303.0,0.281,95.0,154,9,5.84,3.63 (3.10-4.16),145,94.16,3.62 (3.28-3.96),65.51,8.51
oligodendrocytes 2,526.0,0.478,91.0,213,8,3.76,3.74 (3.19-4.29),205,96.24,3.99 (3.70-4.28),51.67,6.23
