tipo_celular,module_size,CCDC50_MM,CCDC50_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.166,53.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,610.0,0.205,82.0,98,7,7.14,1.67 (0.28-3.06),91,92.86,3.19 (2.87-3.51),7.03,3.81
astrocytes 5,1656.0,0.099,25.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,436.0,0.093,25.0,219,1,0.46,2.43 (NA-NA),218,99.54,5.23 (4.94-5.52),8.21,4.59
GABA neurons expressing GLU receptors 22,823.0,0.242,84.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,229.0,0.257,85.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,289.0,0.157,38.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.28,86.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20),NA,6.82
oligodendrocytes 20,676.0,0.044,17.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,3052.0,0.118,32.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,354.0,0.072,20.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,411.0,0.379,86.0,103,2,1.94,4.07 (0.85-7.29),101,98.06,5.59 (5.20-5.97),3.07,3.08
oligodendrocytes 10,2107.0,0.052,6.0,358,6,1.68,1.45 (0.29-2.61),352,98.32,3.91 (3.71-4.10),27.20,9.17
connective tissue cells 21,101.0,0.163,3.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,377.0,0.191,77.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38),NA,2.45
oligodendrocytes 16,71.0,0.302,93.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,39.0,0.295,35.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80),NA,1.48
astrocytes 4,787.0,0.185,97.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,309.0,0.129,43.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,1615.0,0.164,95.0,161,6,3.73,1.45 (0.29-2.61),155,96.27,3.34 (3.08-3.61),12.06,5.18
oligodendrocytes 3,854.0,0.062,16.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,1630.0,0.141,48.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
