tipo_celular,module_size,NALCN_MM,NALCN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,118.0,0.235,66.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,436.0,0.117,41.0,219,21,9.59,4.37 (3.81-4.93),198,90.41,5.34 (5.03-5.66),4.95,4.58
GABA neurons expressing GLU receptors 22,192.0,0.082,13.0,55,4,7.27,2.60 (2.60-2.60),51,92.73,4.15 (3.72-4.59),1.74,3.45
GLU like neurons 17,795.0,0.144,56.0,80,10,12.5,4.94 (3.47-6.42),70,87.5,5.80 (5.39-6.22),2.16,3.14
da like neurons 11,408.0,0.155,45.0,25,4,16.0,1.16 (0.64-1.68),21,84.0,5.48 (4.15-6.81),1.99,2.33
GABA neurons expressing GABA receptors 13,288.0,0.252,76.0,93,7,7.53,2.54 (1.18-3.90),86,92.47,5.43 (4.95-5.91),2.17,4.09
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.316,57.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,1300.0,0.206,51.0,306,39,12.75,3.49 (2.93-4.05),267,87.25,5.47 (5.20-5.74),5.98,6.81
astrocytes 8,218.0,0.219,86.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,411.0,0.182,57.0,103,9,8.74,4.77 (4.12-5.43),94,91.26,5.65 (5.22-6.07),4.84,2.92
oligodendrocytes 10,204.0,0.5,77.0,92,3,3.26,3.36 (1.73-4.99),89,96.74,5.83 (5.36-6.30),5.17,3.67
connective tissue cells 21,104.0,0.444,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.328,94.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,287.0,0.328,55.0,105,7,6.67,1.66 (1.09-2.23),98,93.33,5.45 (5.06-5.85),3.34,3.48
da neurons 6,398.0,0.251,80.0,138,11,7.97,2.16 (1.35-2.98),127,92.03,5.10 (4.74-5.46),2.57,2.75
astrocytes microglia 23,190.0,0.211,14.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,220.0,0.152,41.0,63,3,4.76,2.26 (1.59-2.93),60,95.24,5.32 (4.77-5.87),2.12,3.35
oligodendrocytes 0,261.0,0.114,13.0,42,5,11.9,1.31 (0.80-1.82),37,88.1,4.57 (3.92-5.22),2.22,2.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,99.0,0.16,19.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237.0,0.212,48.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
