tipo_celular,module_size,PILRB_MM,PILRB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.097,10.0,98,3,3.06,1.56 (0.23-2.89),95,96.94,3.29 (2.81-3.77),3.15,13.78
T cells 18,727.0,0.101,18.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,932.0,0.106,46.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,17,4.82,1.83 (1.41-2.26),336,95.18,4.03 (3.84-4.21),15.16,7.70
GABA neurons expressing GLU receptors 22,1069.0,0.125,20.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,300.0,0.183,45.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,109.0,0.116,13.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.102,38.0,169,6,3.55,1.88 (0.75-3.00),163,96.45,3.55 (3.34-3.77),4.81,5.38
GABA like neurons 14,3052.0,0.194,89.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,603.0,0.081,54.0,89,4,4.49,1.58 (0.29-2.87),85,95.51,2.84 (2.48-3.20),4.85,6.10
oligodendrocyte progenitor cells 12,3303.0,0.051,16.0,276,21,7.61,2.14 (1.71-2.58),255,92.39,3.70 (3.47-3.92),8.30,4.85
oligodendrocytes 10,2107.0,0.194,67.0,358,22,6.15,1.70 (1.35-2.05),336,93.85,4.06 (3.87-4.25),15.32,9.09
connective tissue cells 21,111.0,0.264,37.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,458.0,0.031,5.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,158.0,0.307,92.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,42.0,0.261,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.172,85.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,2078.0,0.079,4.0,238,5,2.1,2.34 (1.28-3.40),233,97.9,3.67 (3.45-3.89),5.99,5.00
microglia 1,958.0,0.078,6.0,290,16,5.52,2.52 (1.93-3.10),274,94.48,3.91 (3.67-4.15),5.04,5.00
oligodendrocytes 3,242.0,0.061,8.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,1630.0,0.131,28.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
