tipo_celular,module_size,MSN_MM,MSN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.195,48.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,506.0,0.157,39.0,225,38,16.89,3.03 (2.49-3.57),187,83.11,3.75 (3.47-4.02),13.40,6.79
astrocytes 5,322.0,0.181,54.0,58,17,29.31,3.63 (2.98-4.29),41,70.69,4.46 (3.93-4.99),2.00,2.45
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.294,88.0,141,15,10.64,3.90 (2.83-4.97),126,89.36,2.84 (2.61-3.06),3.18,7.25
oligodendrocytes 20,403.0,0.058,23.0,18,11,61.11,1.39 (0.69-2.09),7,38.89,2.64 (1.45-3.84),4.76,2.27
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.113,67.0,83,4,4.82,1.55 (0.88-2.21),79,95.18,3.33 (2.87-3.79),2.10,4.59
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.319,91.0,358,59,16.48,2.22 (1.88-2.56),299,83.52,4.32 (4.14-4.51),18.76,7.64
connective tissue cells 21,100.0,0.244,38.0,8,4,50.0,NA,4,50.0,1.58 (-0.37-3.52),1.48,2.46
astrocytes 15,1401.0,0.141,87.0,96,20,20.83,3.43 (2.65-4.21),76,79.17,3.66 (3.13-4.20),4.15,3.70
oligodendrocytes 16,71.0,0.107,6.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,137.0,0.204,6.0,188,30,15.96,2.95 (2.20-3.69),158,84.04,4.73 (4.38-5.08),8.03,6.98
astrocytes 4,514.0,0.205,61.0,95,9,9.47,2.78 (0.88-4.69),86,90.53,3.43 (3.01-3.85),2.58,4.86
oligodendrocytes 0,2078.0,0.095,14.0,238,11,4.62,2.89 (2.08-3.70),227,95.38,3.68 (3.45-3.91),5.88,4.98
microglia 1,958.0,0.191,97.0,290,26,8.97,3.01 (2.35-3.67),264,91.03,3.92 (3.68-4.16),6.59,4.84
oligodendrocytes 3,854.0,0.056,11.0,76,4,5.26,1.99 (-0.03-4.00),72,94.74,2.83 (2.50-3.16),2.79,4.83
oligodendrocytes 2,1630.0,0.122,16.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
