tipo_celular,module_size,PSMD2_MM,PSMD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.195,63.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,228.0,0.123,23.0,266,27,10.15,1.99 (1.31-2.67),239,89.85,4.30 (4.10-4.50),9.70,4.45
oligodendrocyte progenitor cells 7,296.0,0.173,44.0,251,6,2.39,4.23 (NA-NA),245,97.61,4.06 (3.83-4.30),5.83,6.16
GABA neurons expressing GLU receptors 22,848.0,0.203,47.0,262,33,12.6,3.02 (2.48-3.56),229,87.4,4.31 (4.05-4.57),7.48,3.62
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.334,86.0,410,37,9.02,3.23 (2.81-3.65),373,90.98,4.34 (4.14-4.53),13.09,6.96
GABA neurons expressing GABA receptors 13,90.0,0.159,45.0,4,1,25.0,2.24 (NA-NA),3,75.0,6.38 (3.80-8.96),2.06,1.77
endothelial cells 9,338.0,0.128,48.0,191,2,1.05,3.18 (3.18-3.18),189,98.95,3.89 (3.67-4.12),3.91,9.21
oligodendrocytes 20,250.0,0.14,28.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.504,89.0,455,53,11.65,2.51 (2.08-2.95),402,88.35,4.59 (4.40-4.78),18.38,7.58
astrocytes 8,520.0,0.227,75.0,288,36,12.5,3.09 (2.63-3.55),252,87.5,4.30 (4.09-4.51),8.58,4.13
oligodendrocyte progenitor cells 12,1049.0,0.052,18.0,235,19,8.09,3.46 (2.85-4.07),216,91.91,3.84 (3.60-4.08),7.03,7.67
oligodendrocytes 10,806.0,0.269,74.0,261,12,4.6,2.62 (1.87-3.36),249,95.4,4.41 (4.17-4.65),7.33,6.00
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.113,74.0,105,24,22.86,2.45 (1.93-2.97),81,77.14,3.46 (3.07-3.86),7.91,2.81
oligodendrocytes 16,313.0,0.194,41.0,291,12,4.12,2.50 (1.47-3.53),279,95.88,4.37 (4.14-4.59),4.33,3.79
da neurons 6,409.0,0.147,61.0,235,22,9.36,2.77 (2.06-3.49),213,90.64,4.07 (3.81-4.33),8.18,4.03
astrocytes microglia 23,96.0,0.349,67.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,157.0,0.123,10.0,178,17,9.55,2.10 (1.28-2.92),161,90.45,4.37 (4.11-4.62),7.05,4.23
oligodendrocytes 0,546.0,0.108,15.0,252,46,18.25,2.51 (2.04-2.98),206,81.75,4.45 (4.19-4.71),11.75,7.42
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.159,68.0,345,31,8.99,3.57 (3.22-3.92),314,91.01,4.33 (4.11-4.55),12.36,5.03
oligodendrocytes 2,528.0,0.204,52.0,175,17,9.71,3.18 (2.35-4.00),158,90.29,4.44 (4.08-4.81),12.21,3.80
