tipo_celular,module_size,ZNF160_MM,ZNF160_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.185,69.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727.0,0.081,7.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,423.0,0.115,24.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,34,9.63,1.57 (1.30-1.84),319,90.37,4.22 (4.05-4.39),23.50,6.42
GABA neurons expressing GLU receptors 22,848.0,0.135,17.0,262,4,1.53,0.70 (0.28-1.13),258,98.47,4.23 (3.99-4.47),3.43,4.11
GLU like neurons 17,685.0,0.054,5.0,135,15,11.11,1.27 (1.06-1.48),120,88.89,3.48 (3.17-3.79),4.08,3.71
da like neurons 11,853.0,0.122,43.0,133,37,27.82,1.84 (1.55-2.13),96,72.18,3.94 (3.59-4.29),5.65,3.59
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.236,73.0,141,8,5.67,1.99 (1.35-2.64),133,94.33,3.03 (2.78-3.27),4.08,6.98
oligodendrocytes 20,330.0,0.028,4.0,36,12,33.33,1.86 (1.62-2.11),24,66.67,1.95 (1.43-2.48),1.90,3.74
GABA like neurons 14,2090.0,0.125,29.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,577.0,0.029,2.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79),1.94,4.57
oligodendrocyte progenitor cells 12,708.0,0.051,17.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64),4.50,2.25
oligodendrocytes 10,2107.0,0.091,24.0,358,38,10.61,1.53 (1.28-1.79),320,89.39,4.25 (4.07-4.43),27.02,7.39
connective tissue cells 21,106.0,0.258,36.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1401.0,0.042,10.0,96,2,2.08,3.03 (0.71-5.36),94,97.92,3.63 (3.17-4.09),1.45,3.85
oligodendrocytes 16,94.0,0.212,52.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.271,23.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,1807.0,0.146,53.0,104,17,16.35,1.26 (1.00-1.53),87,83.65,3.21 (2.92-3.49),9.25,4.64
oligodendrocytes 0,2078.0,0.142,95.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93),7.99,4.91
microglia 1,1615.0,0.097,31.0,161,34,21.12,1.57 (1.30-1.84),127,78.88,3.86 (3.60-4.13),9.07,4.46
oligodendrocytes 3,357.0,0.134,75.0,127,2,1.57,2.65 (2.03-3.27),125,98.43,3.13 (2.79-3.47),1.73,4.28
oligodendrocytes 2,804.0,0.176,74.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09),3.31,3.40
