tipo_celular,module_size,SLC35E2B_MM,SLC35E2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.114,23.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93),NA,3.31
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,8,2.27,1.08 (0.31-1.84),345,97.73,3.97 (3.79-4.16),48.81,7.12
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.016,2.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,2090.0,0.162,56.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.043,11.0,235,1,0.43,3.56 (NA-NA),234,99.57,3.82 (3.59-4.06),1.91,7.64
oligodendrocytes 10,2107.0,0.079,17.0,358,7,1.96,0.91 (0.11-1.71),351,98.04,3.94 (3.75-4.13),46.62,8.73
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.282,88.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,112.0,0.437,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.11,41.0,238,1,0.42,3.31 (NA-NA),237,99.58,3.64 (3.42-3.86),2.14,5.03
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.093,49.0,87,2,2.3,0.53 (0.51-0.56),85,97.7,2.64 (2.37-2.90),8.77,4.14
oligodendrocytes 2,1630.0,0.139,43.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
